L	doping	site	prior	observable	true	Delta	prior_fid	G	G_max
8	0.0	1	chi2	n	1.0000000000408056	4.080535909167793e-11	0.3492286746761149	1.0000000000060647	0.9999999999989025
8	0.0	1	chi4	n	1.0000000000408056	-8.282270425041816e-10	0.7090574719632964	0.9999999999689919	0.9999999999989025
8	0.0	1	chi8	n	1.0000000000408056	9.512941545608555e-10	0.9910999615936822	1.0000000000275724	0.9999999999989025
8	0.0	1	chi16	n	1.0000000000408056	6.770708438352813e-10	0.9994216301235046	1.0000000000124993	0.9999999999989025
8	0.0	1	chi32	n	1.0000000000408056	1.6804013736049228e-10	0.999994302332707	0.9999999999987332	0.9999999999989025
8	0.0	1	exact	n	1.0000000000408056	0.0	NaN	0.9999999999989025	0.9999999999989025
8	0.0	1	UHF	n	1.0000000000408056	4.0806580337005016e-11	NaN	0.014906804327733992	0.9999999999989025
8	0.0	1	UHFsym	n	1.0000000000408056	4.0806469314702554e-11	NaN	1.0000000000000004	0.9999999999989025
8	0.0	1	chi2	Sz	5.598785324245625e-13	7.458277051508588e-12	0.3492286746761149	1.0000000000099074	0.9999999999800943
8	0.0	1	chi4	Sz	5.598785324245625e-13	-2.004125337906615e-11	0.7090574719632964	0.9999999995636074	0.9999999999800943
8	0.0	1	chi8	Sz	5.598785324245625e-13	1.6553231008131775e-11	0.9910999615936822	1.0000000004491814	0.9999999999800943
8	0.0	1	chi16	Sz	5.598785324245625e-13	4.035757839027099e-12	0.9994216301235046	1.0000000003028362	0.9999999999800943
8	0.0	1	chi32	Sz	5.598785324245625e-13	-3.029281686606211e-12	0.999994302332707	1.0000000000544056	0.9999999999800943
8	0.0	1	exact	Sz	5.598785324245625e-13	0.0	NaN	0.9999999999800943	0.9999999999800943
8	0.0	1	UHF	Sz	5.598785324245625e-13	-0.4377959965790061	NaN	0.021175929507743302	0.9999999999800943
8	0.0	1	UHFsym	Sz	5.598785324245625e-13	5.598937112549773e-13	NaN	1.0000000000000002	0.9999999999800943
8	0.0	1	chi2	DoubleOcc	0.07170178342758995	0.07170178342758995	0.3492286746761149	5.511393340269439	45.470623140201994
8	0.0	1	chi4	DoubleOcc	0.07170178342758995	0.0002649415578242498	0.7090574719632964	45.45914438462497	45.470623140201994
8	0.0	1	chi8	DoubleOcc	0.07170178342758995	0.00010993854431567973	0.9910999615936822	45.46694554889231	45.470623140201994
8	0.0	1	chi16	DoubleOcc	0.07170178342758995	5.0726110213950015e-6	0.9994216301235046	45.4704873586021	45.470623140201994
8	0.0	1	chi32	DoubleOcc	0.07170178342758995	1.1301496416482593e-7	0.999994302332707	45.47062015163559	45.470623140201994
8	0.0	1	exact	DoubleOcc	0.07170178342758995	0.0	NaN	45.470623140201994	45.470623140201994
8	0.0	1	UHF	DoubleOcc	0.07170178342758995	0.013367118048685817	NaN	1.294701774653313	45.470623140201994
8	0.0	1	UHFsym	DoubleOcc	0.07170178342758995	0.013367118048685983	NaN	36.13632670823648	45.470623140201994
8	0.0	1	chi2	ZZ onsite	-0.7131928663712516	0.28680713362874866	0.3492286746761149	5.844348061396306	92.76487105862397
8	0.0	1	chi4	ZZ onsite	-0.7131928663712516	0.001059767887750418	0.7090574719632964	92.73817760962433	92.76487105862397
8	0.0	1	chi8	ZZ onsite	-0.7131928663712516	0.0004397522746734106	0.9910999615936822	92.75835775440396	92.76487105862397
8	0.0	1	chi16	ZZ onsite	-0.7131928663712516	2.028908994367029e-5	0.9994216301235046	92.76471304912718	92.76487105862397
8	0.0	1	chi32	ZZ onsite	-0.7131928663712516	4.517237762735604e-7	0.999994302332707	92.7648676906995	92.76487105862397
8	0.0	1	exact	ZZ onsite	-0.7131928663712516	0.0	NaN	92.76487105862397	92.76487105862397
8	0.0	1	UHF	ZZ onsite	-0.7131928663712516	0.05346847211312988	NaN	61.01397863300904	92.76487105862397
8	0.0	1	UHFsym	ZZ onsite	-0.7131928663712516	0.05346847211313066	NaN	61.01397863300843	92.76487105862397
8	0.0	1	chi2	ZZ up-up r=1	-0.8353022271126436	0.16469777288735665	0.3492286746761149	23.442352854740818	190.75509052062642
8	0.0	1	chi4	ZZ up-up r=1	-0.8353022271126436	0.09061838758909035	0.7090574719632964	61.31484902486679	190.75509052062642
8	0.0	1	chi8	ZZ up-up r=1	-0.8353022271126436	0.004920337443570899	0.9910999615936822	190.64757974728678	190.75509052062642
8	0.0	1	chi16	ZZ up-up r=1	-0.8353022271126436	0.0002741885253998433	0.9994216301235046	190.81484921189866	190.75509052062642
8	0.0	1	chi32	ZZ up-up r=1	-0.8353022271126436	5.531579355011473e-6	0.999994302332707	190.75637242810268	190.75509052062642
8	0.0	1	exact	ZZ up-up r=1	-0.8353022271126436	0.0	NaN	190.75509052062642	190.75509052062642
8	0.0	1	UHF	ZZ up-up r=1	-0.8353022271126436	0.050564271663555926	NaN	117.02000153487046	190.75509052062642
8	0.0	1	UHFsym	ZZ up-up r=1	-0.8353022271126436	-0.3945183803120695	NaN	4.376875054594803	190.75509052062642
8	0.0	1	chi2	SzSz r=1	-0.17714883483934366	0.0728511651606564	0.3492286746761149	5.182802286803602	99.12529919667669
8	0.0	1	chi4	SzSz r=1	-0.17714883483934366	0.027872821280748333	0.7090574719632964	27.166800321714057	99.12529919667669
8	0.0	1	chi8	SzSz r=1	-0.17714883483934366	0.0010503007918326035	0.9910999615936822	98.91418515501539	99.12529919667669
8	0.0	1	chi16	SzSz r=1	-0.17714883483934366	5.8526932840446966e-5	0.9994216301235046	99.13150155140714	99.12529919667669
8	0.0	1	chi32	SzSz r=1	-0.17714883483934366	1.2113284361958687e-6	0.999994302332707	99.12544496379203	99.12529919667669
8	0.0	1	exact	SzSz r=1	-0.17714883483934366	0.0	NaN	99.12529919667669	99.12529919667669
8	0.0	1	UHF	SzSz r=1	-0.17714883483934366	0.017027288863053353	NaN	50.876315174749855	99.12529919667669
8	0.0	1	UHFsym	SzSz r=1	-0.17714883483934366	-0.09424337413085328	NaN	3.455457362866111	99.12529919667669
8	0.0	1	chi2	hop up r=1	0.6413966450395938	0.6413966450395938	0.3492286746761149	1.0	67.5644833196989
8	0.0	1	chi4	hop up r=1	0.6413966450395938	-0.04320191269288087	0.7090574719632964	55.43496737523079	67.5644833196989
8	0.0	1	chi8	hop up r=1	0.6413966450395938	-0.0021988285551097775	0.9910999615936822	67.78124642436089	67.5644833196989
8	0.0	1	chi16	hop up r=1	0.6413966450395938	-0.00015838463433204275	0.9994216301235046	67.58352409562016	67.5644833196989
8	0.0	1	chi32	hop up r=1	0.6413966450395938	-2.2876378158454003e-6	0.999994302332707	67.56476209589573	67.5644833196989
