U	prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
8.0	UHF	ZZ onsite	true	-0.6285836983962819	0.1084213728519805	NaN	27.767124968717496	21.65515837710697
8.0	UHF-sym	ZZ onsite	true	-0.6285836983962819	0.10842137285198039	NaN	27.76712496871754	21.655158377106996
8.0	chi=8	ZZ onsite	true	-0.6285836983962819	0.18462831844906213	0.025843151680491883	11.75953952040614	9.828745055825793
8.0	chi=16	ZZ onsite	true	-0.6285836983962819	0.07443693771702498	0.15717608920309523	43.2202699239859	32.55543127917501
8.0	chi=32	ZZ onsite	true	-0.6285836983962819	0.050779143947424665	0.4699939317839428	57.32104172875446	42.833115297221994
8.0	chi=64	ZZ onsite	true	-0.6285836983962819	0.02271837059483295	0.7600532072807437	70.53740939056419	54.89953446148822
8.0	chi=128	ZZ onsite	true	-0.6285836983962819	0.009524344585299827	0.9081650838298118	71.70512072301322	58.28643872241116
8.0	UHF	ZZ up-up y1	true	-0.3488900211780851	0.43619300921575044	NaN	0.6041350406536038	0.6575477091322515
8.0	UHF-sym	ZZ up-up y1	true	-0.3488900211780851	-0.05599413271639897	NaN	11.992929108944205	10.111048246894127
8.0	chi=8	ZZ up-up y1	true	-0.3488900211780851	0.25684539628512837	0.025843151680491883	1.5858126498200118	1.7350635703392825
8.0	chi=16	ZZ up-up y1	true	-0.3488900211780851	0.13187543609432517	0.15717608920309523	4.486259227631908	4.825687085552429
8.0	chi=32	ZZ up-up y1	true	-0.3488900211780851	0.06354686321518616	0.4699939317839428	9.40093707746097	9.455182337822663
8.0	chi=64	ZZ up-up y1	true	-0.3488900211780851	0.022756547250212422	0.7600532072807437	13.763550000570898	12.656183258555906
8.0	chi=128	ZZ up-up y1	true	-0.3488900211780851	0.009611601426153304	0.9081650838298118	14.814720891054957	13.196134128340988
8.0	UHF	ZZ up-up y2	true	0.18539236792035219	-0.4904283015412404	NaN	0.13377715227731893	0.17993905073942992
8.0	UHF-sym	ZZ up-up y2	true	0.18539236792035219	-0.06066944450526868	NaN	1.8087695247850626	3.110100751340144
8.0	chi=8	ZZ up-up y2	true	0.18539236792035219	-0.14299804365881752	0.025843151680491883	0.8926039664242158	1.4446215493823076
8.0	chi=16	ZZ up-up y2	true	0.18539236792035219	-0.09925126340574386	0.15717608920309523	1.291948970473176	2.1837087333427796
8.0	chi=32	ZZ up-up y2	true	0.18539236792035219	-0.03403607444690815	0.4699939317839428	2.240852562930081	3.7626402415413156
8.0	chi=64	ZZ up-up y2	true	0.18539236792035219	-0.015826526452950518	0.7600532072807437	2.531451550116305	4.070040136930361
8.0	chi=128	ZZ up-up y2	true	0.18539236792035219	-0.006940105410343039	0.9081650838298118	2.656630989475326	4.1455041596821
8.0	UHF	ZZ up-up x1	true	-0.2566646527628723	0.5633651787707179	NaN	0.22403210753827726	0.23296170773526872
8.0	UHF-sym	ZZ up-up x1	true	-0.2566646527628723	-0.022966335854572056	NaN	6.548905142894473	6.921283329105029
8.0	chi=8	ZZ up-up x1	true	-0.2566646527628723	-0.014623005469842909	0.025843151680491883	6.689752341595022	7.123718450850919
8.0	chi=16	ZZ up-up x1	true	-0.2566646527628723	-0.014732028383657891	0.15717608920309523	6.6884104157276845	7.121592894649542
8.0	chi=32	ZZ up-up x1	true	-0.2566646527628723	-0.00921364330064739	0.4699939317839428	6.738820635690165	7.2104240495882745
8.0	chi=64	ZZ up-up x1	true	-0.2566646527628723	-0.008882414533018662	0.7600532072807437	6.740691795337606	7.214506000347969
8.0	chi=128	ZZ up-up x1	true	-0.2566646527628723	-0.005213798298114969	0.9081650838298118	6.752516962376097	7.2499165501776766
8.0	UHF	DoubleOcc	false	0.041882892419611684	-0.006650073064703055	NaN	1.0281404947573494	NaN
8.0	UHF-sym	DoubleOcc	false	0.041882892419611684	-0.006650073064703055	NaN	21.24594472067318	NaN
8.0	chi=8	DoubleOcc	false	0.041882892419611684	0.013335424872463641	0.025843151680491883	9.924440890947215	NaN
