W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	chi2	4.3008146655e-03	ZZ onsite	2	0.79944534	2.00554659e-01	-0.5988906821	-1.0000000000	4.011093e-01	6.697538e-01	2.176544	50.711981
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	chi4	1.5330374468e-01	ZZ onsite	2	0.98893967	7.71308662e-02	-0.5988906821	-0.7531524145	1.542617e-01	2.575791e-01	11.798311	50.711981
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	chi8	8.7248698035e-01	ZZ onsite	2	0.99996880	4.45471118e-03	-0.5988906821	-0.6078001045	8.909422e-03	1.487654e-02	50.160127	50.711981
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	chi16	9.8529398774e-01	ZZ onsite	2	0.99999872	9.04416582e-04	-0.5988906821	-0.6006995153	1.808833e-03	3.020306e-03	50.688994	50.711981
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	chi32	9.9876933769e-01	ZZ onsite	2	0.99999999	7.30798316e-05	-0.5988906821	-0.5990368418	1.461597e-04	2.440507e-04	50.711831	50.711981
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	chi64	9.9996335320e-01	ZZ onsite	2	1.00000000	2.68844542e-06	-0.5988906821	-0.5988960590	5.376891e-06	8.978084e-06	50.711980	50.711981
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	chi128	9.9999931832e-01	ZZ onsite	2	1.00000000	7.16165932e-08	-0.5988906821	-0.5988908253	1.432332e-07	2.391642e-07	50.711981	50.711981
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	chi256	9.9999999380e-01	ZZ onsite	2	1.00000000	7.94861801e-10	-0.5988906821	-0.5988906837	1.589725e-09	2.654450e-09	50.711981	50.711981
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	chi512	9.9999999996e-01	ZZ onsite	2	1.00000000	5.29604832e-12	-0.5988906821	-0.5988906821	1.059286e-11	1.768747e-11	50.711981	50.711981
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	UHF	1.1803423839e-02	ZZ onsite	2	0.69668794	3.86378245e-01	-0.5988906821	-0.5913054047	-7.585277e-03	1.266555e-02	50.310772	50.711981
1	32	32	cylinder	true	4.0	-17.9945783651	2.507e-11	chi2	4.3008146655e-03	ZZ up-up nb	2	0.94993584	2.18077367e-01	-0.4361547345	0.0000000000	-4.361547e-01	1.000000e+00	1.000000	21.881779
