W	LX	nsites	geometry	bipartite	U	Eref	Hvar	prior	global_fid	observable	nA	F_supp	D_supp	true	prior_val	Delta	eps	G	G_max
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi2	3.1056111049e-01	ZZ onsite	2	0.95459483	4.54051658e-02	-0.9091896684	-1.0000000000	9.081033e-02	9.988051e-02	81.257066	424.810902
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi4	6.7811968483e-01	ZZ onsite	2	0.95459483	4.54051658e-02	-0.9091896684	-1.0000000000	9.081033e-02	9.988051e-02	81.257066	424.810902
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi8	8.6240749727e-01	ZZ onsite	2	0.99746247	1.86410614e-02	-0.9091896684	-0.9464717911	3.728212e-02	4.100588e-02	248.045859	424.810902
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi16	9.2453639547e-01	ZZ onsite	2	0.99950822	8.78430804e-03	-0.9091896684	-0.9267582845	1.756862e-02	1.932338e-02	366.770243	424.810902
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi32	9.9128953426e-01	ZZ onsite	2	0.99996455	2.44675347e-03	-0.9091896684	-0.9140831753	4.893507e-03	5.382273e-03	419.658619	424.810902
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi64	9.9734906269e-01	ZZ onsite	2	0.99999488	9.37878925e-04	-0.9091896684	-0.9110654262	1.875758e-03	2.063110e-03	424.045958	424.810902
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi128	9.9977459171e-01	ZZ onsite	2	0.99999994	1.05947100e-04	-0.9091896684	-0.9094015626	2.118942e-04	2.330583e-04	424.801123	424.810902
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	UHF	2.0641768700e-01	ZZ onsite	2	0.53681755	4.83815303e-01	-0.9091896684	-0.9229966199	1.380695e-02	1.518600e-02	386.987890	424.810902
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi2	3.1056111049e-01	ZZ up-up nb	2	0.92930295	2.56318122e-01	-0.5126362436	0.0000000000	-5.126362e-01	1.000000e+00	1.000000	32.686798
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi4	6.7811968483e-01	ZZ up-up nb	2	0.99553645	5.95232888e-02	-0.5126362436	-0.3935896659	-1.190466e-01	2.322243e-01	12.066851	32.686798
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi8	8.6240749727e-01	ZZ up-up nb	2	0.99577099	5.78855923e-02	-0.5126362436	-0.3968650590	-1.157712e-01	2.258350e-01	12.494610	32.686798
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi16	9.2453639547e-01	ZZ up-up nb	2	0.99958149	1.77758391e-02	-0.5126362436	-0.4770845654	-3.555168e-02	6.935069e-02	28.364152	32.686798
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi32	9.9128953426e-01	ZZ up-up nb	2	0.99996713	4.93930690e-03	-0.5126362436	-0.5027576298	-9.878614e-03	1.927022e-02	32.306658	32.686798
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi64	9.9734906269e-01	ZZ up-up nb	2	0.99999678	1.54125704e-03	-0.5126362436	-0.5095537295	-3.082514e-03	6.013063e-03	32.649392	32.686798
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi128	9.9977459171e-01	ZZ up-up nb	2	0.99999999	7.32352411e-05	-0.5126362436	-0.5124897731	-1.464705e-04	2.857201e-04	32.686714	32.686798
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	UHF	2.0641768700e-01	ZZ up-up nb	2	0.49781943	5.94851196e-01	-0.5126362436	-0.9480069415	4.353707e-01	8.492780e-01	1.370238	32.686798
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi2	3.1056111049e-01	SzSz nb	4	0.77204168	4.36999977e-01	-0.1245431417	-0.0000000000	-1.245431e-01	1.000000e+00	1.000000	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi4	6.7811968483e-01	SzSz nb	4	0.91327440	1.88971129e-01	-0.1245431417	-0.0983974165	-2.614573e-02	2.099331e-01	2.392041	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi8	8.6240749727e-01	SzSz nb	4	0.97502786	1.51476568e-01	-0.1245431417	-0.0992162648	-2.532688e-02	2.033583e-01	2.401544	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi16	9.2453639547e-01	SzSz nb	4	0.99701474	4.92272900e-02	-0.1245431417	-0.1167898308	-7.753311e-03	6.225402e-02	2.540764	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi32	9.9128953426e-01	SzSz nb	4	0.99977571	1.37946898e-02	-0.1245431417	-0.1224770734	-2.066068e-03	1.658918e-02	2.554992	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi64	9.9734906269e-01	SzSz nb	4	0.99995773	4.90882893e-03	-0.1245431417	-0.1238652061	-6.779356e-04	5.443380e-03	2.555969	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi128	9.9977459171e-01	SzSz nb	4	0.99999969	2.87842630e-04	-0.1245431417	-0.1245027388	-4.040290e-05	3.244089e-04	2.556086	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	UHF	2.0641768700e-01	SzSz nb	4	0.41445359	6.64476433e-01	-0.1245431417	-0.2338754452	1.093323e-01	8.778669e-01	1.162281	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi2	3.1056111049e-01	SxSx nb	4	0.77204168	4.36999977e-01	-0.1245431417	0.0000000000	-1.245431e-01	1.000000e+00	1.000000	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi4	6.7811968483e-01	SxSx nb	4	0.91327440	1.88971129e-01	-0.1245431417	-0.0983974165	-2.614573e-02	2.099331e-01	2.392041	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi8	8.6240749727e-01	SxSx nb	4	0.97502786	1.51476568e-01	-0.1245431417	-0.0992162648	-2.532688e-02	2.033583e-01	2.401544	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi16	9.2453639547e-01	SxSx nb	4	0.99701474	4.92272900e-02	-0.1245431417	-0.1167898308	-7.753311e-03	6.225402e-02	2.540764	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi32	9.9128953426e-01	SxSx nb	4	0.99977571	1.37946898e-02	-0.1245431417	-0.1224770734	-2.066068e-03	1.658918e-02	2.554992	2.556086
2	4	8	torus	true	12.0	-2.4400344848	-3.553e-15	chi64	9.9734906269e-01	SxSx nb	4	0.99995773	4.90882893e-03	-0.1245431417	-0.1238652061	-6.779356e-04	5.443380e-03	2.555969	2.556086
