geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max
cylinder	ED	4.0	1	n	chi4	0.999999999999993	6.494804694057166e-14	6.494804694057211e-14	0.9999999999827464	0.9999999999983055
cylinder	ED	4.0	1	n	chi8	0.999999999999993	1.8318679906315083e-12	1.8318679906315212e-12	0.999999999973195	0.9999999999983055
cylinder	ED	4.0	1	n	chi32	0.999999999999993	-5.55233636845287e-12	5.552336368452909e-12	0.9999999999379292	0.9999999999983055
cylinder	ED	4.0	1	n	chi128	0.999999999999993	-1.954547634852588e-12	1.954547634852602e-12	0.9999999999970164	0.9999999999983055
cylinder	ED	4.0	1	n	exact	0.999999999999993	-2.5744961718032755e-12	2.5744961718032937e-12	0.9999999999983055	0.9999999999983055
cylinder	ED	4.0	1	n	UHF	0.999999999999993	-1.1879386363489175e-14	1.1879386363489259e-14	0.01817666218124686	0.9999999999983055
cylinder	ED	4.0	1	n	UHFsym	0.999999999999993	-6.106226635438361e-15	6.1062266354384036e-15	1.0000000000000369	0.9999999999983055
cylinder	ED	4.0	1	Sz	chi4	-8.187894806610529e-16	-1.0658418592157659e-11	NaN	1.000000000012692	1.0000000000050269
cylinder	ED	4.0	1	Sz	chi8	-8.187894806610529e-16	-1.5528099639450232e-11	NaN	1.0000000000171843	1.0000000000050269
cylinder	ED	4.0	1	Sz	chi32	-8.187894806610529e-16	-4.172151513159861e-11	NaN	1.0000000000540787	1.0000000000050269
cylinder	ED	4.0	1	Sz	chi128	-8.187894806610529e-16	-3.0181274146556802e-12	NaN	1.0000000000050775	1.0000000000050269
cylinder	ED	4.0	1	Sz	exact	-8.187894806610529e-16	-2.5856261576251427e-12	NaN	1.0000000000050269	1.0000000000050269
cylinder	ED	4.0	1	Sz	UHF	-8.187894806610529e-16	-0.4026187502157749	NaN	0.022634382346362197	1.0000000000050269
cylinder	ED	4.0	1	Sz	UHFsym	-8.187894806610529e-16	-8.260536352167058e-16	NaN	1.000000000000004	1.0000000000050269
cylinder	ED	4.0	1	DoubleOcc	chi4	0.09113601062644369	0.0429065403672132	0.4707967802440059	8.59326821449751	29.846742890334177
cylinder	ED	4.0	1	DoubleOcc	chi8	0.09113601062644369	0.007955669669401949	0.08729446916445957	26.438369547420038	29.846742890334177
cylinder	ED	4.0	1	DoubleOcc	chi32	0.09113601062644369	0.0004884108586168112	0.005359142398922339	29.739965497115225	29.846742890334177
