W	LX	geometry	bipartite	U	prior	global_fid	observable	nA	true	prior_val	Delta	eps	G	G_max
2	4	torus	true	8.0	chi2	3.3886959772e-01	ZZ onsite	2	-0.8182170987	-1.0000000000	1.817829e-01	2.221695e-01	18.311634	181.046968
2	4	torus	true	8.0	chi4	6.3213398011e-01	ZZ onsite	2	-0.8182170987	-1.0000000000	1.817829e-01	2.221695e-01	18.311634	181.046968
2	4	torus	true	8.0	chi8	7.8791681220e-01	ZZ onsite	2	-0.8182170987	-0.8656634792	4.744638e-02	5.798752e-02	112.772523	181.046968
2	4	torus	true	8.0	chi16	9.0900839936e-01	ZZ onsite	2	-0.8182170987	-0.8415385954	2.332150e-02	2.850282e-02	157.944144	181.046968
2	4	torus	true	8.0	chi32	9.8227581709e-01	ZZ onsite	2	-0.8182170987	-0.8291737857	1.095669e-02	1.339093e-02	175.384592	181.046968
2	4	torus	true	8.0	chi64	9.9666502986e-01	ZZ onsite	2	-0.8182170987	-0.8199867050	1.769606e-03	2.162759e-03	180.894623	181.046968
2	4	torus	true	8.0	chi128	1.0000000000e+00	ZZ onsite	2	-0.8182170987	-0.8182170987	-4.440892e-16	5.427523e-16	181.046968	181.046968
2	4	torus	true	8.0	UHF	2.2819967038e-01	ZZ onsite	2	-0.8182170987	-0.8411203883	2.290329e-02	2.799170e-02	158.663766	181.046968
2	4	torus	true	8.0	chi2	3.3886959772e-01	ZZ up-up nb	2	-0.4698941912	-0.0779029852	-3.919912e-01	8.342116e-01	1.413386	26.188308
2	4	torus	true	8.0	chi4	6.3213398011e-01	ZZ up-up nb	2	-0.4698941912	-0.4317272041	-3.816699e-02	8.122464e-02	22.456519	26.188308
2	4	torus	true	8.0	chi8	7.8791681220e-01	ZZ up-up nb	2	-0.4698941912	-0.4095691757	-6.032502e-02	1.283800e-01	18.505818	26.188308
2	4	torus	true	8.0	chi16	9.0900839936e-01	ZZ up-up nb	2	-0.4698941912	-0.3976996489	-7.219454e-02	1.536400e-01	16.423365	26.188308
2	4	torus	true	8.0	chi32	9.8227581709e-01	ZZ up-up nb	2	-0.4698941912	-0.4612981181	-8.596073e-03	1.829364e-02	25.969400	26.188308
2	4	torus	true	8.0	chi64	9.9666502986e-01	ZZ up-up nb	2	-0.4698941912	-0.4624206023	-7.473589e-03	1.590483e-02	26.022500	26.188308
2	4	torus	true	8.0	chi128	1.0000000000e+00	ZZ up-up nb	2	-0.4698941912	-0.4698941912	4.107825e-15	8.742022e-15	26.188308	26.188308
2	4	torus	true	8.0	UHF	2.2819967038e-01	ZZ up-up nb	2	-0.4698941912	-0.8913011364	4.214069e-01	8.968124e-01	1.231912	26.188308
2	4	torus	true	8.0	chi2	3.3886959772e-01	SzSz nb	4	-0.1107429727	-0.0194757463	-9.126723e-02	8.241356e-01	1.214631	2.226299
2	4	torus	true	8.0	chi4	6.3213398011e-01	SzSz nb	4	-0.1107429727	-0.1079318010	-2.811172e-03	2.538465e-02	2.224541	2.226299
2	4	torus	true	8.0	chi8	7.8791681220e-01	SzSz nb	4	-0.1107429727	-0.1006777720	-1.006520e-02	9.088794e-02	2.203973	2.226299
2	4	torus	true	8.0	chi16	9.0900839936e-01	SzSz nb	4	-0.1107429727	-0.0958268970	-1.491608e-02	1.346909e-01	2.177848	2.226299
2	4	torus	true	8.0	chi32	9.8227581709e-01	SzSz nb	4	-0.1107429727	-0.1093336900	-1.409283e-03	1.272571e-02	2.225857	2.226299
2	4	torus	true	8.0	chi64	9.9666502986e-01	SzSz nb	4	-0.1107429727	-0.1090841909	-1.658782e-03	1.497866e-02	2.225687	2.226299
2	4	torus	true	8.0	chi128	1.0000000000e+00	SzSz nb	4	-0.1107429727	-0.1107429727	8.604228e-16	7.769548e-15	2.226299	2.226299
2	4	torus	true	8.0	UHF	2.2819967038e-01	SzSz nb	4	-0.1107429727	-0.2165526906	1.058097e-01	9.554531e-01	1.050400	2.226299
2	4	torus	true	8.0	chi2	3.3886959772e-01	DoubleOcc	2	0.0454450016	0.0000000000	4.544500e-02	1.000000e+00	1.000000	1.183958
2	4	torus	true	8.0	chi4	6.3213398011e-01	DoubleOcc	2	0.0454450016	0.0000000000	4.544500e-02	1.000000e+00	1.000000	1.183958
2	4	torus	true	8.0	chi8	7.8791681220e-01	DoubleOcc	2	0.0454450016	0.0335795821	1.186542e-02	2.610941e-01	1.169294	1.183958
2	4	torus	true	8.0	chi16	9.0900839936e-01	DoubleOcc	2	0.0454450016	0.0396147870	5.830215e-03	1.282917e-01	1.180384	1.183958
2	4	torus	true	8.0	chi32	9.8227581709e-01	DoubleOcc	2	0.0454450016	0.0427061756	2.738826e-03	6.026683e-02	1.183167	1.183958
2	4	torus	true	8.0	chi64	9.9666502986e-01	DoubleOcc	2	0.0454450016	0.0450028548	4.421468e-04	9.729273e-03	1.183937	1.183958
2	4	torus	true	8.0	chi128	1.0000000000e+00	DoubleOcc	2	0.0454450016	0.0454450016	-2.081668e-17	4.580632e-16	1.183958	1.183958
2	4	torus	true	8.0	UHF	2.2819967038e-01	DoubleOcc	2	0.0454450016	0.0397199029	5.725099e-03	1.259786e-01	1.180511	1.183958
2	4	torus	true	8.0	chi2	3.3886959772e-01	Sz	2	-0.0001505264	0.0139247408	-1.407527e-02	9.350696e+01	0.982697	1.000002
2	4	torus	true	8.0	chi4	6.3213398011e-01	Sz	2	-0.0001505264	-0.0094590738	9.308547e-03	6.183996e+01	0.992359	1.000002
2	4	torus	true	8.0	chi8	7.8791681220e-01	Sz	2	-0.0001505264	-0.0001022906	-4.823579e-05	3.204473e-01	1.000002	1.000002
2	4	torus	true	8.0	chi16	9.0900839936e-01	Sz	2	-0.0001505264	-0.0001095874	-4.093900e-05	2.719722e-01	1.000002	1.000002
2	4	torus	true	8.0	chi32	9.8227581709e-01	Sz	2	-0.0001505264	-0.0001304988	-2.002762e-05	1.330505e-01	1.000002	1.000002
2	4	torus	true	8.0	chi64	9.9666502986e-01	Sz	2	-0.0001505264	-0.0003257185	1.751921e-04	1.163863e+00	0.999999	1.000002
2	4	torus	true	8.0	chi128	1.0000000000e+00	Sz	2	-0.0001505264	-0.0001505264	-3.685203e-16	2.448210e-12	1.000002	1.000002
2	4	torus	true	8.0	UHF	2.2819967038e-01	Sz	2	-0.0001505264	0.4585630786	-4.587136e-01	3.047396e+03	0.050752	1.000002
