W	LX	geometry	bipartite	U	prior	global_fid	observable	nA	true	prior_val	Delta	eps	G	G_max
4	4	cylinder	true	8.0	chi2	3.6888713219e-02	ZZ onsite	2	-0.7833537345	-1.0000000000	2.166463e-01	2.765625e-01	12.050781	142.180466
4	4	cylinder	true	8.0	chi4	2.3853291478e-01	ZZ onsite	2	-0.7833537345	-1.0000000000	2.166463e-01	2.765625e-01	12.050781	142.180466
4	4	cylinder	true	8.0	chi8	4.8870520581e-01	ZZ onsite	2	-0.7833537345	-0.9203108264	1.369571e-01	1.748343e-01	26.748442	142.180466
4	4	cylinder	true	8.0	chi16	6.7628151279e-01	ZZ onsite	2	-0.7833537345	-0.8729630247	8.960929e-02	1.143919e-01	49.933144	142.180466
4	4	cylinder	true	8.0	chi32	8.6181606904e-01	ZZ onsite	2	-0.7833537345	-0.8232674052	3.991367e-02	5.095230e-02	104.045368	142.180466
4	4	cylinder	true	8.0	chi64	9.5383443262e-01	ZZ onsite	2	-0.7833537345	-0.7982962342	1.494250e-02	1.907503e-02	135.233585	142.180466
4	4	cylinder	true	8.0	chi128	9.8716295535e-01	ZZ onsite	2	-0.7833537345	-0.7879997868	4.646052e-03	5.930976e-03	141.477854	142.180466
4	4	cylinder	true	8.0	UHF	1.0154791703e-01	ZZ onsite	2	-0.7833537345	-0.7982347050	1.488097e-02	1.899649e-02	135.287910	142.180466
4	4	cylinder	true	8.0	chi2	3.6888713219e-02	ZZ up-up nb	2	-0.3674206491	-0.0000000269	-3.674206e-01	9.999999e-01	1.000000	14.872587
4	4	cylinder	true	8.0	chi4	2.3853291478e-01	ZZ up-up nb	2	-0.3674206491	-0.0627825931	-3.046381e-01	8.291261e-01	1.411502	14.872587
4	4	cylinder	true	8.0	chi8	4.8870520581e-01	ZZ up-up nb	2	-0.3674206491	-0.2628408162	-1.045798e-01	2.846324e-01	7.002502	14.872587
