U	prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
4.0	UHF	ZZ onsite	true	-0.4888934352540327	-0.02453771128923493	NaN	44.03727910626924	27.018827781193462
4.0	chi=8	ZZ onsite	true	-0.4888934352540327	0.13992283704245267	0.055028511981752154	8.938690378391723	8.798244158963737
4.0	chi=16	ZZ onsite	true	-0.4888934352540327	0.10317828292289499	0.2114841122386346	13.850705636282328	12.890101685899323
4.0	chi=32	ZZ onsite	true	-0.4888934352540327	0.03341184058574709	0.5737642017221771	35.52856273026164	25.583063655712714
4.0	chi=64	ZZ onsite	true	-0.4888934352540327	0.00935200551143267	0.8696158111952457	44.530772469417506	28.62661130673898
4.0	UHF	ZZ up-up y1	true	-0.39342044366117135	0.17841183296960772	NaN	3.327693337477976	3.974124753313332
4.0	chi=8	ZZ up-up y1	true	-0.39342044366117135	0.24427282300320052	0.055028511981752154	2.071278073198494	2.3748664963749473
4.0	chi=16	ZZ up-up y1	true	-0.39342044366117135	0.10861933157156678	0.2114841122386346	6.00260366255889	7.7105757113094935
4.0	chi=32	ZZ up-up y1	true	-0.39342044366117135	0.0367249779842323	0.5737642017221771	10.822628165963009	15.131391730333304
4.0	chi=64	ZZ up-up y1	true	-0.39342044366117135	0.009966787513150999	0.8696158111952457	12.299331759342001	17.09900589649253
4.0	UHF	ZZ up-up y2	true	0.20836063149194728	-0.2531303458855027	NaN	0.7798448083198473	0.7239207884189599
4.0	chi=8	ZZ up-up y2	true	0.20836063149194728	-0.1769428920549334	0.055028511981752154	1.4343144228052525	1.2877408364574194
4.0	chi=16	ZZ up-up y2	true	0.20836063149194728	-0.06407756731995395	0.2114841122386346	4.507972183683986	3.6438978259319232
4.0	chi=32	ZZ up-up y2	true	0.20836063149194728	-0.02950363804547934	0.5737642017221771	5.892007486422911	4.657452315232219
4.0	chi=64	ZZ up-up y2	true	0.20836063149194728	-0.008773695296143746	0.8696158111952457	6.269227656984962	4.998422391665423
4.0	UHF	ZZ up-up x1	true	-0.2873938660372255	0.2910846303487198	NaN	0.8332539023043891	0.9775380972843354
4.0	chi=8	ZZ up-up x1	true	-0.2873938660372255	0.16019516090392522	0.055028511981752154	2.1430830061793027	2.582199393346058
4.0	chi=16	ZZ up-up x1	true	-0.2873938660372255	0.0574050924137533	0.2114841122386346	5.7883818040782336	6.823959033458561
4.0	chi=32	ZZ up-up x1	true	-0.2873938660372255	0.01984912184704174	0.5737642017221771	7.854661736068641	8.671754368068093
4.0	chi=64	ZZ up-up x1	true	-0.2873938660372255	-0.0001500420355317611	0.8696158111952457	8.573858077950025	9.002771357949614
4.0	UHF	DoubleOcc	false	0.12802566984810784	-0.005885399160691557	NaN	6.633862882384012	NaN
