U	nhole	site	x	y	observable	prior	true	Delta	relerr	G	dens	Sz
8.0	4	1	1	1	n	chi8	0.9346128227927356	-0.008955432541765118	0.009581970547980722	1.1990377890234092	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	n	chi32	0.9346128227927356	-0.008113411168658158	0.008681039860350202	1.3521022734987307	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	n	exact	0.9346128227927356	0.0	0.0	1.3536498113870727	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	n	UHF	0.9346128227927356	-0.06532946266449413	0.06990002819486452	0.021370311984782526	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	Sz	chi8	-0.018398622579522045	-0.02328115926999475	1.2653751208477446	1.1259497038934994	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	Sz	chi32	-0.018398622579522045	-0.0056852928218864476	0.30900643770008457	1.2944815673978844	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	Sz	exact	-0.018398622579522045	0.0	0.0	1.3241917927077012	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	Sz	UHF	-0.018398622579522045	-0.4769899504033268	25.925307633312947	0.02587473305037873	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	DoubleOcc	chi8	0.03867984320108164	0.021922099553043084	0.5667577150992705	29.380010979044908	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	DoubleOcc	chi32	0.03867984320108164	0.0020621271910872263	0.0533127081298396	59.40828913766851	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	DoubleOcc	exact	0.03867984320108164	0.0	0.0	61.08638877496793	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	DoubleOcc	UHF	0.03867984320108164	-0.0009852944050749435	0.02547307133466846	1.3455513097959793	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	ZZ onsite	chi8	-0.7145062727811445	0.1055992632957029	0.14779333270884842	34.43307049488216	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	ZZ onsite	chi32	-0.7145062727811445	0.024475331101665332	0.034254886253688915	91.01791666337859	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	ZZ onsite	exact	-0.7145062727811445	0.0	0.0	95.61302747198626	0.9346128227927356	-0.018398622579522045
8.0	4	1	1	1	ZZ onsite	UHF	-0.7145062727811445	0.1267177477086885	0.17735008429730403	26.418957248109127	0.9346128227927356	-0.018398622579522045
