geometry	U	site	x	y	observable	prior	true	Delta	relerr	G	G_max	prior_fid	S_center
cylinder	8.0	1	1	1	n	chi4	0.9999996335583108	-9.298312093619643e-6	9.298315500910082e-6	1.001236546293949	1.0014094781879364	0.2630732209023642	1.5528183040162151
cylinder	8.0	1	1	1	n	chi8	0.9999996335583108	-5.513071364315891e-6	5.513073384535815e-6	1.001292201706199	1.0014094781879364	0.4977587284203219	1.5528183040162151
cylinder	8.0	1	1	1	n	chi32	0.9999996335583108	-1.2631625508907618e-5	1.2631630137663503e-5	1.0017969710246428	1.0014094781879364	0.8591912817510141	1.5528183040162151
cylinder	8.0	1	1	1	n	exact	0.9999996335583108	0.0	0.0	1.0014094781879364	1.0014094781879364	1.0000000000000018	1.5528183040162151
cylinder	8.0	1	1	1	n	UHF	0.9999996335583108	-3.664416867721343e-7	3.664418210516942e-7	0.017628208805208004	1.0014094781879364	1.0000000000000018	1.5528183040162151
cylinder	8.0	1	1	1	n	UHFsym	0.9999996335583108	-3.664416867721343e-7	3.664418210516942e-7	0.9999999999999998	1.0014094781879364	1.0000000000000018	1.5528183040162151
cylinder	8.0	1	1	1	Sz	chi4	-0.0005394469772097847	-7.852120014051377e-5	NaN	0.9990031221640544	0.9988056074699555	0.2630732209023642	1.5528183040162151
cylinder	8.0	1	1	1	Sz	chi8	-0.0005394469772097847	-5.262065626990319e-5	NaN	0.998937014134092	0.9988056074699555	0.4977587284203219	1.5528183040162151
cylinder	8.0	1	1	1	Sz	chi32	-0.0005394469772097847	0.000146503260761949	NaN	0.9984822529963384	0.9988056074699555	0.8591912817510141	1.5528183040162151
cylinder	8.0	1	1	1	Sz	exact	-0.0005394469772097847	0.0	NaN	0.9988056074699555	0.9988056074699555	1.0000000000000018	1.5528183040162151
cylinder	8.0	1	1	1	Sz	UHF	-0.0005394469772097847	0.4580772820427366	NaN	0.021123261008683142	0.9988056074699555	1.0000000000000018	1.5528183040162151
cylinder	8.0	1	1	1	Sz	UHFsym	-0.0005394469772097847	-0.0005394469772098012	NaN	0.9999999999999958	0.9988056074699555	1.0000000000000018	1.5528183040162151
cylinder	8.0	1	1	1	DoubleOcc	chi4	0.04469282361002408	0.029585186177088385	0.661967264257897	19.894718526102057	70.21490781905807	0.2630732209023642	1.5528183040162151
cylinder	8.0	1	1	1	DoubleOcc	chi8	0.04469282361002408	0.029679819223735054	0.6640846745936683	19.81942853275164	70.21490781905807	0.4977587284203219	1.5528183040162151
