geometry	rho	U	site	observable	prior	true	Delta	relerr	G	G_max
cylinder	ED	8.0	1	n	chi4	1.0000000000000064	-4.027889133340068e-13	4.027889133340042e-13	1.0000000007938228	0.999999997806817
cylinder	ED	8.0	1	n	chi8	1.0000000000000064	-3.6884495457911726e-10	3.688449545791149e-10	0.9999999991537266	0.999999997806817
cylinder	ED	8.0	1	n	chi32	1.0000000000000064	3.19122506198255e-12	3.1912250619825294e-12	0.9999999989350814	0.999999997806817
cylinder	ED	8.0	1	n	chi128	1.0000000000000064	-4.005544784746462e-10	4.005544784746436e-10	0.9999999981169203	0.999999997806817
cylinder	ED	8.0	1	n	exact	1.0000000000000064	6.513034556121511e-11	6.51303455612147e-11	0.999999997806817	0.999999997806817
cylinder	ED	8.0	1	n	UHF	1.0000000000000064	4.884981308350689e-15	4.884981308350657e-15	0.012440266395125571	0.999999997806817
cylinder	ED	8.0	1	n	UHFsym	1.0000000000000064	1.0658141036401503e-14	1.0658141036401435e-14	1.0000000000000315	0.999999997806817
cylinder	ED	8.0	1	Sz	chi4	3.3813923883130315e-13	3.8347292702356484e-10	NaN	0.9999999989798996	1.000000002822586
cylinder	ED	8.0	1	Sz	chi8	3.3813923883130315e-13	-2.9018056013629945e-10	NaN	1.0000000010640304	1.000000002822586
cylinder	ED	8.0	1	Sz	chi32	3.3813923883130315e-13	-5.145200966671926e-10	NaN	1.000000001368741	1.000000002822586
cylinder	ED	8.0	1	Sz	chi128	3.3813923883130315e-13	-7.803131404915398e-10	NaN	1.000000002394379	1.000000002822586
cylinder	ED	8.0	1	Sz	exact	3.3813923883130315e-13	-1.0786927254202716e-9	NaN	1.000000002822586	1.000000002822586
cylinder	ED	8.0	1	Sz	UHF	3.3813923883130315e-13	0.4586283172577342	NaN	0.01643111482419656	1.000000002822586
cylinder	ED	8.0	1	Sz	UHFsym	3.3813923883130315e-13	3.3814617772520705e-13	NaN	1.0000000000000016	1.000000002822586
cylinder	ED	8.0	1	DoubleOcc	chi4	0.04434574949185294	0.029276407956670025	0.6601852103559236	28.285589288019374	75.1854168505035
cylinder	ED	8.0	1	DoubleOcc	chi8	0.04434574949185294	0.029387798824669825	0.6626970828414764	28.157156602623825	75.1854168505035
cylinder	ED	8.0	1	DoubleOcc	chi32	0.04434574949185294	0.003429483751220347	0.07733511758213492	72.51998793166344	75.1854168505035
cylinder	ED	8.0	1	DoubleOcc	chi128	0.04434574949185294	0.00018189819764058424	0.004101818093614632	75.11783816420144	75.1854168505035
cylinder	ED	8.0	1	DoubleOcc	exact	0.04434574949185294	7.873675242353606e-8	1.7755197132929578e-6	75.1854168505035	75.1854168505035
cylinder	ED	8.0	1	DoubleOcc	UHF	0.04434574949185294	0.004685682882202891	0.10566250285303509	1.5530983206571816	75.1854168505035
cylinder	ED	8.0	1	DoubleOcc	UHFsym	0.04434574949185294	0.004685682882205555	0.10566250285309518	70.88453664557112	75.1854168505035
cylinder	ED	8.0	1	ZZ onsite	chi4	-0.8226170020325938	0.11710563182749256	0.1423574172891367	38.30233471119804	203.39657030399664
cylinder	ED	8.0	1	ZZ onsite	chi8	-0.8226170020325938	0.11755119603637654	0.14289905964248342	38.071732778548274	203.39657030399664
cylinder	ED	8.0	1	ZZ onsite	chi32	-0.8226170020325938	0.013717934998505599	0.01667596823869447	188.6742097140693	203.39657030399664
cylinder	ED	8.0	1	ZZ onsite	chi128	-0.8226170020325938	0.0007275935916783993	0.0008844864498066508	203.13383995601407	203.39657030399664
cylinder	ED	8.0	1	ZZ onsite	exact	-0.8226170020325938	3.14816756774583e-7	3.8270149534559376e-7	203.39657030399664	203.39657030399664
cylinder	ED	8.0	1	ZZ onsite	UHF	-0.8226170020325938	0.01874273152880912	0.022784274434515632	179.21040100459535	203.39657030399664
cylinder	ED	8.0	1	ZZ onsite	UHFsym	-0.8226170020325938	0.018742731528814227	0.02278427443452184	179.21040100458507	203.39657030399664
cylinder	ED	8.0	1	ZZ up-up nb	chi4	-0.49466751796431685	0.15209211403525602	0.3074633132596899	7.90351202843642	30.332448307009688
cylinder	ED	8.0	1	ZZ up-up nb	chi8	-0.49466751796431685	0.06462948040620187	0.1306523635757785	19.895746342140395	30.332448307009688
cylinder	ED	8.0	1	ZZ up-up nb	chi32	-0.49466751796431685	0.019097146639237117	0.038606025149633336	28.882680764289645	30.332448307009688
cylinder	ED	8.0	1	ZZ up-up nb	chi128	-0.49466751796431685	0.0017873811300904152	0.0036132979530290265	30.303093598417867	30.332448307009688
cylinder	ED	8.0	1	ZZ up-up nb	exact	-0.49466751796431685	2.1651226722596562e-7	4.376925093383307e-7	30.332448307009688	30.332448307009688
cylinder	ED	8.0	1	ZZ up-up nb	UHF	-0.49466751796431685	0.3969927948026445	0.8025446999964162	1.5071218070109709	30.332448307009688
cylinder	ED	8.0	1	ZZ up-up nb	UHFsym	-0.49466751796431685	-0.16418757435990516	0.331915010380263	7.229477013495314	30.332448307009688
cylinder	ED	8.0	1	SzSz nb	chi4	-0.11684564828036628	0.03730958895203765	0.3193066194687443	7.543352004154643	27.880016589171916
cylinder	ED	8.0	1	SzSz nb	chi8	-0.11684564828036628	0.015735193973691303	0.13466649554577642	18.924591798945972	27.880016589171916
cylinder	ED	8.0	1	SzSz nb	chi32	-0.11684564828036628	0.004599233151085347	0.0393616126811131	26.801777512165394	27.880016589171916
cylinder	ED	8.0	1	SzSz nb	chi128	-0.11684564828036628	0.00046279740480925646	0.003960758587250021	27.880892081650735	27.880016589171916
cylinder	ED	8.0	1	SzSz nb	exact	-0.11684564828036628	4.7198579627982795e-8	4.0393955891906017e-7	27.880016589171916	27.880016589171916
cylinder	ED	8.0	1	SzSz nb	UHF	-0.11684564828036628	0.09978185751067928	0.8539629757648899	1.3644475403710832	27.880016589171916
cylinder	ED	8.0	1	SzSz nb	UHFsym	-0.11684564828036628	-0.04051323477995633	0.34672437849586407	6.555509245299373	27.880016589171916
cylinder	ED	8.0	1	SxSx nb	chi4	-0.11684564828015329	0.0436713706666402	0.3737526498370925	6.17542436343137	34.67933646052081
cylinder	ED	8.0	1	SxSx nb	chi8	-0.11684564828015329	0.01709567574960061	0.14630990542849664	20.230455255177613	34.67933646052081
cylinder	ED	8.0	1	SxSx nb	chi32	-0.11684564828015329	0.0036475048899031193	0.03121643761312986	33.59645148115503	34.67933646052081
cylinder	ED	8.0	1	SxSx nb	chi128	-0.11684564828015329	0.0004541015719654734	0.0038863370493413952	34.66359314080726	34.67933646052081
cylinder	ED	8.0	1	SxSx nb	exact	-0.11684564828015329	5.3681482065082164e-8	4.594221766511452e-7	34.67933646052081	34.67933646052081
cylinder	ED	8.0	1	SxSx nb	UHF	-0.11684564828015329	-0.11055807587946039	0.9461890751325407	1.1303666517686308	34.67933646052081
cylinder	ED	8.0	1	SxSx nb	UHFsym	-0.11684564828015329	-0.04041052973414261	0.3458453980010696	6.972740545132876	34.67933646052081
