U	prior	observable	pure	true	Delta	prior_fid	G_emp	G_theo
4.0	UHF	ZZ onsite	true	-0.36952405922297904	-0.4131250326619682	NaN	0.8157821804836236	0.8108265708474415
4.0	UHF-sym	ZZ onsite	true	-0.36952405922297904	-0.4131250326619682	NaN	0.8157821804836239	0.8108265708474415
4.0	chi=8	ZZ onsite	true	-0.36952405922297904	-0.006019025986080173	0.0003778490462756988	18.391637985886334	15.00111948160928
4.0	chi=16	ZZ onsite	true	-0.36952405922297904	0.05439378957756569	0.005837898950780859	16.842114841251064	11.54165679025256
4.0	chi=32	ZZ onsite	true	-0.36952405922297904	0.03126212118288707	0.05574601165801269	19.231114032742	13.680642236698484
4.0	chi=64	ZZ onsite	true	-0.36952405922297904	0.025380312788309933	0.2617677250262537	19.52968034734603	14.120673538557973
4.0	chi=128	ZZ onsite	true	-0.36952405922297904	0.007587160024074391	0.6186246398556823	19.430065001518415	14.968363812202494
4.0	UHF	ZZ up-up y1	true	-0.19730352535769358	-0.1231818572335436	NaN	1.9593502928418383	1.9141489117778125
4.0	UHF-sym	ZZ up-up y1	true	-0.19730352535769358	-0.14565742667469686	NaN	1.5789455028613915	1.5530323060497793
4.0	chi=8	ZZ up-up y1	true	-0.19730352535769358	-0.12026939547679645	0.0003778490462756988	2.015867537921603	1.9678429688768562
4.0	chi=16	ZZ up-up y1	true	-0.19730352535769358	-0.10447199220646652	0.005837898950780859	2.353238000226181	2.2894092047578543
4.0	chi=32	ZZ up-up y1	true	-0.19730352535769358	-0.04262073356916263	0.05574601165801269	3.9677558633730037	3.9387434170393276
4.0	chi=64	ZZ up-up y1	true	-0.19730352535769358	-0.03101737812665284	0.2617677250262537	4.196017712111854	4.224578215479082
4.0	chi=128	ZZ up-up y1	true	-0.19730352535769358	-0.011678097450836339	0.6186246398556823	4.374084692459022	4.543184009437943
4.0	UHF	ZZ up-up y2	true	0.05427634317930344	-0.15828656059234894	NaN	0.7206233442526329	0.39046585592131733
4.0	UHF-sym	ZZ up-up y2	true	0.05427634317930344	-0.03412149396922898	NaN	1.1229139580868506	1.1438999830317675
4.0	chi=8	ZZ up-up y2	true	0.05427634317930344	-0.05324183833610088	0.0003778490462756988	1.0898427949850409	1.0079157150484788
4.0	chi=16	ZZ up-up y2	true	0.05427634317930344	-0.04806217889906314	0.005837898950780859	1.1007612855684816	1.0470138473998034
4.0	chi=32	ZZ up-up y2	true	0.05427634317930344	-0.013369576147355927	0.05574601165801269	1.1342797774823312	1.2428283638699513
4.0	chi=64	ZZ up-up y2	true	0.05427634317930344	-0.001881305090934593	0.2617677250262537	1.1289089818338034	1.2622351008082662
4.0	chi=128	ZZ up-up y2	true	0.05427634317930344	0.0025854379273963363	0.6186246398556823	1.1246071987247543	1.261881383877388
4.0	UHF	ZZ up-up x1	true	-0.08806290720923968	-0.2516174507036143	NaN	0.19981976365666623	0.25401893830699146
4.0	UHF-sym	ZZ up-up x1	true	-0.08806290720923968	0.02615874196420044	NaN	2.604351527081842	1.5968409595607658
4.0	chi=8	ZZ up-up x1	true	-0.08806290720923968	0.07582882544133354	0.0003778490462756988	1.4802317438172874	1.118553336487383
4.0	chi=16	ZZ up-up x1	true	-0.08806290720923968	0.07923592256653336	0.005837898950780859	1.4124282452131949	1.0846704231256123
4.0	chi=32	ZZ up-up x1	true	-0.08806290720923968	0.016719575777400908	0.05574601165801269	2.7255039033742494	1.6533242149352592
4.0	chi=64	ZZ up-up x1	true	-0.08806290720923968	0.013445592647769247	0.2617677250262537	2.7484217522119456	1.6677185509340082
4.0	chi=128	ZZ up-up x1	true	-0.08806290720923968	0.005917364308124881	0.6186246398556823	2.759387198097199	1.6894283426462384
4.0	UHF	DoubleOcc	false	0.09253620574525859	-0.02934046703800028	NaN	2.015770109548054	NaN
4.0	UHF-sym	DoubleOcc	false	0.09253620574525859	-0.029340467038000306	NaN	1.9523855199247269	NaN
4.0	chi=8	DoubleOcc	false	0.09253620574525859	0.031203004922802757	0.0003778490462756988	4.749476605089217	NaN
4.0	chi=16	DoubleOcc	false	0.09253620574525859	0.017402551626424984	0.005837898950780859	5.448502211041867	NaN
4.0	chi=32	DoubleOcc	false	0.09253620574525859	0.008354506018382918	0.05574601165801269	7.451368482719594	NaN
4.0	chi=64	DoubleOcc	false	0.09253620574525859	0.005229190195700104	0.2617677250262537	10.279612906211339	NaN
4.0	chi=128	DoubleOcc	false	0.09253620574525859	0.0010339738208798993	0.6186246398556823	13.880717579268477	NaN
4.0	UHF	SzSz y-bond	false	-0.05179904402044057	-0.028656404008959843	NaN	1.95403845716275	NaN
4.0	UHF-sym	SzSz y-bond	false	-0.05179904402044057	-0.03427529636924755	NaN	1.86668226781882	NaN
4.0	chi=8	SzSz y-bond	false	-0.05179904402044057	0.02941273159788614	0.0003778490462756988	1.0133923875607422	NaN
4.0	chi=16	SzSz y-bond	false	-0.05179904402044057	0.007237934595844653	0.005837898950780859	2.798073474706071	NaN
4.0	chi=32	SzSz y-bond	false	-0.05179904402044057	0.004025417790014696	0.05574601165801269	4.479438997511538	NaN
4.0	chi=64	SzSz y-bond	false	-0.05179904402044057	0.00034816835300718885	0.2617677250262537	5.282153997259614	NaN
4.0	chi=128	SzSz y-bond	false	-0.05179904402044057	-0.00022465193146055384	0.6186246398556823	5.644874260088577	NaN
4.0	UHF	SzSz x-bond	false	-0.022451287096727314	-0.001826081642422421	NaN	0.4359194395515041	NaN
4.0	UHF-sym	SzSz x-bond	false	-0.022451287096727314	-0.0036208368979255973	NaN	2.0528702578305102	NaN
4.0	chi=8	SzSz x-bond	false	-0.022451287096727314	0.01978533547433623	0.0003778490462756988	1.1564365116331656	NaN
4.0	chi=16	SzSz x-bond	false	-0.022451287096727314	0.01739472401505028	0.005837898950780859	1.3500129018847151	NaN
4.0	chi=32	SzSz x-bond	false	-0.022451287096727314	0.008251333703728166	0.05574601165801269	1.9579970575689563	NaN
4.0	chi=64	SzSz x-bond	false	-0.022451287096727314	0.006575902743601772	0.2617677250262537	2.0878382222798	NaN
4.0	chi=128	SzSz x-bond	false	-0.022451287096727314	0.003766213065574918	0.6186246398556823	2.238707178054928	NaN
4.0	UHF	hop y-bond	false	0.44184842472106134	0.09874109229702732	NaN	11.535448142396623	NaN
4.0	UHF-sym	hop y-bond	false	0.44184842472106134	0.09874109229702877	NaN	11.535448142396444	NaN
4.0	chi=8	hop y-bond	false	0.44184842472106134	0.10039029386493609	0.0003778490462756988	11.331615311166372	NaN
4.0	chi=16	hop y-bond	false	0.44184842472106134	0.0912504368964801	0.005837898950780859	12.507688870220637	NaN
4.0	chi=32	hop y-bond	false	0.44184842472106134	0.042042300643385044	0.05574601165801269	20.117424156501425	NaN
4.0	chi=64	hop y-bond	false	0.44184842472106134	0.022336885233848802	0.2617677250262537	22.510680219966794	NaN
4.0	chi=128	hop y-bond	false	0.44184842472106134	0.00593748837149094	0.6186246398556823	23.255054847779903	NaN
4.0	UHF	n(site 21)	false	0.8698344411020064	0.14788158225498316	NaN	1.4611633541490325	NaN
4.0	UHF-sym	n(site 21)	false	0.8698344411020064	0.14788158225498316	NaN	0.5467266445899334	NaN
4.0	chi=8	n(site 21)	false	0.8698344411020064	0.06541552283864416	0.0003778490462756988	1.8318529017808467	NaN
4.0	chi=16	n(site 21)	false	0.8698344411020064	0.007608208464067401	0.005837898950780859	2.574820048087612	NaN
4.0	chi=32	n(site 21)	false	0.8698344411020064	0.001077951445319858	0.05574601165801269	4.125710044601663	NaN
4.0	chi=64	n(site 21)	false	0.8698344411020064	-0.0022317760027568134	0.2617677250262537	7.258034986764823	NaN
4.0	chi=128	n(site 21)	false	0.8698344411020064	-0.0017256323702803389	0.6186246398556823	11.510374375834447	NaN
4.0	UHF	n(site 27)	false	0.8407871119281922	0.11883425308116813	NaN	0.32647146099267393	NaN
