U	doping	L	observable	target	chi_star
1.0	0.0	16	DoubleOcc	0.1	4
1.0	0.0	16	DoubleOcc	0.01	8
1.0	0.0	16	DoubleOcc	0.001	24
1.0	0.0	32	DoubleOcc	0.1	4
1.0	0.0	32	DoubleOcc	0.01	16
1.0	0.0	32	DoubleOcc	0.001	24
1.0	0.0	64	DoubleOcc	0.1	4
1.0	0.0	64	DoubleOcc	0.01	16
1.0	0.0	64	DoubleOcc	0.001	24
1.0	0.0	128	DoubleOcc	0.1	4
1.0	0.0	128	DoubleOcc	0.01	16
1.0	0.0	128	DoubleOcc	0.001	48
1.0	0.0	16	ZZ onsite	0.1	8
1.0	0.0	16	ZZ onsite	0.01	24
1.0	0.0	16	ZZ onsite	0.001	24
1.0	0.0	32	ZZ onsite	0.1	8
1.0	0.0	32	ZZ onsite	0.01	24
1.0	0.0	32	ZZ onsite	0.001	48
1.0	0.0	64	ZZ onsite	0.1	16
1.0	0.0	64	ZZ onsite	0.01	24
1.0	0.0	64	ZZ onsite	0.001	48
1.0	0.0	128	ZZ onsite	0.1	16
1.0	0.0	128	ZZ onsite	0.01	48
1.0	0.0	128	ZZ onsite	0.001	64
1.0	0.0	16	SzSz r=1	0.1	6
1.0	0.0	16	SzSz r=1	0.01	16
1.0	0.0	16	SzSz r=1	0.001	48
1.0	0.0	32	SzSz r=1	0.1	12
1.0	0.0	32	SzSz r=1	0.01	32
1.0	0.0	32	SzSz r=1	0.001	64
1.0	0.0	64	SzSz r=1	0.1	12
1.0	0.0	64	SzSz r=1	0.01	48
1.0	0.0	64	SzSz r=1	0.001	96
1.0	0.0	128	SzSz r=1	0.1	12
1.0	0.0	128	SzSz r=1	0.01	48
1.0	0.0	128	SzSz r=1	0.001	128
1.0	0.0	16	ZZ up-up r=1	0.1	6
1.0	0.0	16	ZZ up-up r=1	0.01	24
1.0	0.0	16	ZZ up-up r=1	0.001	48
1.0	0.0	32	ZZ up-up r=1	0.1	8
1.0	0.0	32	ZZ up-up r=1	0.01	32
1.0	0.0	32	ZZ up-up r=1	0.001	64
1.0	0.0	64	ZZ up-up r=1	0.1	12
1.0	0.0	64	ZZ up-up r=1	0.01	32
1.0	0.0	64	ZZ up-up r=1	0.001	96
1.0	0.0	128	ZZ up-up r=1	0.1	12
1.0	0.0	128	ZZ up-up r=1	0.01	64
1.0	0.0	128	ZZ up-up r=1	0.001	128
1.0	0.0	16	hop up r=1	0.1	6
1.0	0.0	16	hop up r=1	0.01	16
1.0	0.0	16	hop up r=1	0.001	24
1.0	0.0	32	hop up r=1	0.1	6
1.0	0.0	32	hop up r=1	0.01	16
1.0	0.0	32	hop up r=1	0.001	32
1.0	0.0	64	hop up r=1	0.1	6
1.0	0.0	64	hop up r=1	0.01	24
1.0	0.0	64	hop up r=1	0.001	64
1.0	0.0	128	hop up r=1	0.1	6
1.0	0.0	128	hop up r=1	0.01	24
1.0	0.0	128	hop up r=1	0.001	64
2.0	0.0	16	DoubleOcc	0.1	4
2.0	0.0	16	DoubleOcc	0.01	8
2.0	0.0	16	DoubleOcc	0.001	24
2.0	0.0	32	DoubleOcc	0.1	4
2.0	0.0	32	DoubleOcc	0.01	16
2.0	0.0	32	DoubleOcc	0.001	24
2.0	0.0	64	DoubleOcc	0.1	4
2.0	0.0	64	DoubleOcc	0.01	16
2.0	0.0	64	DoubleOcc	0.001	32
2.0	0.0	128	DoubleOcc	0.1	4
2.0	0.0	128	DoubleOcc	0.01	16
2.0	0.0	128	DoubleOcc	0.001	32
2.0	0.0	16	ZZ onsite	0.1	8
2.0	0.0	16	ZZ onsite	0.01	16
2.0	0.0	16	ZZ onsite	0.001	24
2.0	0.0	32	ZZ onsite	0.1	8
2.0	0.0	32	ZZ onsite	0.01	24
2.0	0.0	32	ZZ onsite	0.001	32
2.0	0.0	64	ZZ onsite	0.1	8
2.0	0.0	64	ZZ onsite	0.01	16
2.0	0.0	64	ZZ onsite	0.001	48
2.0	0.0	128	ZZ onsite	0.1	8
2.0	0.0	128	ZZ onsite	0.01	24
2.0	0.0	128	ZZ onsite	0.001	48
2.0	0.0	16	SzSz r=1	0.1	8
2.0	0.0	16	SzSz r=1	0.01	16
2.0	0.0	16	SzSz r=1	0.001	32
2.0	0.0	32	SzSz r=1	0.1	8
