L	rho	site	prior	observable	true	Delta	G	G_max
14	ED	1	chi2	n	0.9999999999997996	-2.000621890374532e-13	1.0000000218815794	0.9999999999897157
14	ED	1	chi4	n	0.9999999999997996	3.438049844817215e-10	0.9999999998578745	0.9999999999897157
14	ED	1	chi8	n	0.9999999999997996	5.16019227347897e-10	0.9999999987291643	0.9999999999897157
14	ED	1	chi16	n	0.9999999999997996	-8.085343505825904e-11	0.9999999987168954	0.9999999999897157
14	ED	1	chi32	n	0.9999999999997996	3.942179915839006e-11	1.0000000001538814	0.9999999999897157
14	ED	1	exact	n	0.9999999999997996	-2.8873570201426446e-12	0.9999999999897157	0.9999999999897157
14	ED	1	UHF	n	0.9999999999997996	-1.9895196601282805e-13	0.014650737725099467	0.9999999999897157
14	ED	1	UHFsym	n	0.9999999999997996	-1.9906298831529057e-13	1.0000000000000038	0.9999999999897157
14	ED	1	chi2	Sz	2.5904278722066465e-13	1.6823259091358553e-8	1.0000000298833678	0.9999999999931931
14	ED	1	chi4	Sz	2.5904278722066465e-13	-5.231816577189186e-10	0.9999999988789331	0.9999999999931931
14	ED	1	chi8	Sz	2.5904278722066465e-13	-1.5982932199953837e-9	0.9999999968734186	0.9999999999931931
14	ED	1	chi16	Sz	2.5904278722066465e-13	-8.891109237740835e-10	0.9999999984650132	0.9999999999931931
14	ED	1	chi32	Sz	2.5904278722066465e-13	7.08604841470617e-11	1.0000000001033835	0.9999999999931931
14	ED	1	exact	Sz	2.5904278722066465e-13	-4.413906740108331e-12	0.9999999999931931	0.9999999999931931
14	ED	1	UHF	Sz	2.5904278722066465e-13	0.4377960183864402	0.02157588457634625	0.9999999999931931
14	ED	1	UHFsym	Sz	2.5904278722066465e-13	2.5902717470938086e-13	0.9999999999999991	0.9999999999931931
14	ED	1	chi2	DoubleOcc	0.07125451111705669	0.07125451111705669	6.1001777216644415	51.459537072987075
14	ED	1	chi4	DoubleOcc	0.07125451111705669	-8.902669252197626e-5	51.432127810501	51.459537072987075
14	ED	1	chi8	DoubleOcc	0.07125451111705669	1.2578157027071102e-5	51.463309914715644	51.459537072987075
