L	bc	seed	rho	site	prior	observable	true	Delta	G	G_lo	G_hi	G_max
8	OBC	0	ED	1	chi2	n	0.9999999999999991	-6.661338147750939e-16	1.000000001280134	0.9999999982059704	1.0000000042332577	1.0000000000042844
8	OBC	0	ED	1	chi4	n	0.9999999999999991	9.91229986979647e-10	0.9999999998736133	0.9999999988926973	1.0000000007565102	1.0000000000042844
8	OBC	0	ED	1	chi8	n	0.9999999999999991	-1.3356027395161618e-10	0.999999999973503	0.9999999998135328	1.0000000001528322	1.0000000000042844
8	OBC	0	ED	1	chi16	n	0.9999999999999991	1.8602186457883363e-10	0.9999999999592162	0.9999999997731774	1.0000000001236293	1.0000000000042844
8	OBC	0	ED	1	chi32	n	0.9999999999999991	1.656563775043196e-12	1.0000000000009646	0.9999999999974176	1.0000000000041958	1.0000000000042844
8	OBC	0	ED	1	exact	n	0.9999999999999991	2.4282797994601424e-12	1.0000000000042844	0.9999999999927525	1.0000000000149798	1.0000000000042844
8	OBC	0	ED	1	UHF	n	0.9999999999999991	-1.7763568394002505e-15	0.01398573031599911	0.012791373182774998	0.015179136356012425	1.0000000000042844
8	OBC	0	ED	1	UHFsym	n	0.9999999999999991	-1.7763568394002505e-15	0.9999999999999993	0.9999999999999979	1.0000000000000009	1.0000000000042844
8	OBC	0	ED	1	chi2	Sz	3.191891195797325e-16	1.7655599621191342e-9	1.0000000001624687	0.9999999980503148	1.0000000022949829	0.999999999999577
8	OBC	0	ED	1	chi4	Sz	3.191891195797325e-16	2.467663573479939e-11	0.9999999995894173	0.9999999990065899	1.0000000002567742	0.999999999999577
8	OBC	0	ED	1	chi8	Sz	3.191891195797325e-16	-6.335415525526855e-11	1.0000000000497977	0.9999999999208157	1.0000000001624307	0.999999999999577
8	OBC	0	ED	1	chi16	Sz	3.191891195797325e-16	-1.8903351106658306e-11	0.9999999999207809	0.9999999998092871	1.000000000039476	0.999999999999577
