W	geometry	LX	U	r	i	j	prior	x	y	G
1	cylinder	32	2.0	1	9	10	UHF	-0.5185232614	-0.4933034485	3.12698890e+01
1	cylinder	32	2.0	1	10	11	UHF	-0.3736594705	-0.4903135846	6.41120918e+00
1	cylinder	32	2.0	1	11	12	UHF	-0.5121926266	-0.4918717817	3.10666275e+01
1	cylinder	32	2.0	1	12	13	UHF	-0.3778246796	-0.4906498531	6.81141028e+00
1	cylinder	32	2.0	1	13	14	UHF	-0.5085819664	-0.4913073886	3.09075242e+01
1	cylinder	32	2.0	1	14	15	UHF	-0.3800677197	-0.4907616409	7.04250544e+00
1	cylinder	32	2.0	1	15	16	UHF	-0.5069274172	-0.4911078259	3.08195625e+01
1	cylinder	32	2.0	1	16	17	UHF	-0.3807779092	-0.4907881819	7.11799322e+00
1	cylinder	32	2.0	1	17	18	UHF	-0.5069274172	-0.4911078259	3.08195625e+01
1	cylinder	32	2.0	1	18	19	UHF	-0.3800677197	-0.4907616409	7.04250544e+00
1	cylinder	32	2.0	1	19	20	UHF	-0.5085819664	-0.4913073886	3.09075242e+01
1	cylinder	32	2.0	1	20	21	UHF	-0.3778246796	-0.4906498531	6.81141028e+00
1	cylinder	32	2.0	1	21	22	UHF	-0.5121926266	-0.4918717817	3.10666275e+01
1	cylinder	32	2.0	1	22	23	UHF	-0.3736594705	-0.4903135846	6.41120918e+00
1	cylinder	32	2.0	1	23	24	UHF	-0.5185232614	-0.4933034485	3.12698890e+01
1	cylinder	32	2.0	1	9	10	UHF-sym	-0.5185232614	-0.4152450316	1.46674157e+01
1	cylinder	32	2.0	1	10	11	UHF-sym	-0.3736594705	-0.4126862346	1.33276225e+01
1	cylinder	32	2.0	1	11	12	UHF-sym	-0.5121926266	-0.4142479117	1.51264562e+01
1	cylinder	32	2.0	1	12	13	UHF-sym	-0.3778246796	-0.4132075929	1.39863790e+01
1	cylinder	32	2.0	1	13	14	UHF-sym	-0.5085819664	-0.4138674753	1.54235094e+01
1	cylinder	32	2.0	1	14	15	UHF-sym	-0.3800677197	-0.4133991090	1.43515082e+01
1	cylinder	32	2.0	1	15	16	UHF-sym	-0.5069274172	-0.4137361724	1.55679488e+01
1	cylinder	32	2.0	1	16	17	UHF-sym	-0.3807779092	-0.4134478393	1.44682997e+01
1	cylinder	32	2.0	1	17	18	UHF-sym	-0.5069274172	-0.4137361724	1.55679488e+01
1	cylinder	32	2.0	1	18	19	UHF-sym	-0.3800677197	-0.4133991090	1.43515082e+01
1	cylinder	32	2.0	1	19	20	UHF-sym	-0.5085819664	-0.4138674753	1.54235094e+01
1	cylinder	32	2.0	1	20	21	UHF-sym	-0.3778246796	-0.4132075929	1.39863790e+01
1	cylinder	32	2.0	1	21	22	UHF-sym	-0.5121926266	-0.4142479117	1.51264562e+01
1	cylinder	32	2.0	1	22	23	UHF-sym	-0.3736594705	-0.4126862346	1.33276225e+01
1	cylinder	32	2.0	1	23	24	UHF-sym	-0.5185232614	-0.4152450316	1.46674157e+01
1	cylinder	32	2.0	1	9	10	RHF	-0.5185232614	-0.4561801661	2.28776068e+01
1	cylinder	32	2.0	1	10	11	RHF	-0.3736594705	-0.3610074534	1.51738601e+01
1	cylinder	32	2.0	1	11	12	RHF	-0.5121926266	-0.4501781941	2.22850717e+01
1	cylinder	32	2.0	1	12	13	RHF	-0.3778246796	-0.3650806646	1.55403277e+01
1	cylinder	32	2.0	1	13	14	RHF	-0.5085819664	-0.4468154778	2.19655149e+01
1	cylinder	32	2.0	1	14	15	RHF	-0.3800677197	-0.3672354129	1.57388009e+01
1	cylinder	32	2.0	1	15	16	RHF	-0.5069274172	-0.4452907692	2.18236703e+01
1	cylinder	32	2.0	1	16	17	RHF	-0.3807779092	-0.3679116479	1.58017794e+01
1	cylinder	32	2.0	1	17	18	RHF	-0.5069274172	-0.4452907692	2.18236703e+01
1	cylinder	32	2.0	1	18	19	RHF	-0.3800677197	-0.3672354129	1.57388009e+01
1	cylinder	32	2.0	1	19	20	RHF	-0.5085819664	-0.4468154778	2.19655149e+01
1	cylinder	32	2.0	1	20	21	RHF	-0.3778246796	-0.3650806646	1.55403277e+01
1	cylinder	32	2.0	1	21	22	RHF	-0.5121926266	-0.4501781941	2.22850717e+01
1	cylinder	32	2.0	1	22	23	RHF	-0.3736594705	-0.3610074534	1.51738601e+01
1	cylinder	32	2.0	1	23	24	RHF	-0.5185232614	-0.4561801661	2.28776068e+01
1	cylinder	32	2.0	1	9	10	chi4	-0.5185232614	-1.0000000000	1.15433151e+00
1	cylinder	32	2.0	1	10	11	chi4	-0.3736594705	0.0000000000	1.00000000e+00
1	cylinder	32	2.0	1	11	12	chi4	-0.5121926266	-1.0000000000	1.09902452e+00
1	cylinder	32	2.0	1	12	13	chi4	-0.3778246796	0.0000000000	1.00000000e+00
1	cylinder	32	2.0	1	13	14	chi4	-0.5085819664	-1.0000000000	1.06870195e+00
1	cylinder	32	2.0	1	14	15	chi4	-0.3800677197	0.0000000000	1.00000000e+00
1	cylinder	32	2.0	1	15	16	chi4	-0.5069274172	-1.0000000000	1.05509327e+00
1	cylinder	32	2.0	1	16	17	chi4	-0.3807779092	0.0000000000	1.00000000e+00
1	cylinder	32	2.0	1	17	18	chi4	-0.5069274172	-1.0000000000	1.05509327e+00
1	cylinder	32	2.0	1	18	19	chi4	-0.3800677197	0.0000000000	1.00000000e+00
1	cylinder	32	2.0	1	19	20	chi4	-0.5085819664	-1.0000000000	1.06870195e+00
1	cylinder	32	2.0	1	20	21	chi4	-0.3778246796	0.0000000000	1.00000000e+00
1	cylinder	32	2.0	1	21	22	chi4	-0.5121926266	-1.0000000000	1.09902452e+00
1	cylinder	32	2.0	1	22	23	chi4	-0.3736594705	0.0000000000	1.00000000e+00
1	cylinder	32	2.0	1	23	24	chi4	-0.5185232614	-1.0000000000	1.15433151e+00
1	cylinder	32	2.0	1	9	10	chi8	-0.5185232614	-0.5217837280	3.36444306e+01
1	cylinder	32	2.0	1	10	11	chi8	-0.3736594705	-0.3354207642	1.34004598e+01
1	cylinder	32	2.0	1	11	12	chi8	-0.5121926266	-0.5153160358	3.25741923e+01
1	cylinder	32	2.0	1	12	13	chi8	-0.3778246796	-0.3395735396	1.37204333e+01
1	cylinder	32	2.0	1	13	14	chi8	-0.5085819664	-0.5113190646	3.19846697e+01
1	cylinder	32	2.0	1	14	15	chi8	-0.3800677197	-0.3421269039	1.39253845e+01
1	cylinder	32	2.0	1	15	16	chi8	-0.5069274172	-0.5090366166	3.17253797e+01
1	cylinder	32	2.0	1	16	17	chi8	-0.3807779092	-0.3433814329	1.40333946e+01
1	cylinder	32	2.0	1	17	18	chi8	-0.5069274172	-0.5081777706	3.17363285e+01
1	cylinder	32	2.0	1	18	19	chi8	-0.3800677197	-0.3433959262	1.40455811e+01
1	cylinder	32	2.0	1	19	20	chi8	-0.5085819664	-0.5087522417	3.20132893e+01
1	cylinder	32	2.0	1	20	21	chi8	-0.3778246796	-0.3420268458	1.39485705e+01
1	cylinder	32	2.0	1	21	22	chi8	-0.5121926266	-0.5110785100	3.26076084e+01
1	cylinder	32	2.0	1	22	23	chi8	-0.3736594705	-0.3388759753	1.37109552e+01
1	cylinder	32	2.0	1	23	24	chi8	-0.5185232614	-0.5159721204	3.36612791e+01
1	cylinder	32	2.0	2	9	11	UHF	0.0415038728	0.0997078090	8.86093147e-01
1	cylinder	32	2.0	2	10	12	UHF	0.0401760163	0.0986596997	8.76726287e-01
1	cylinder	32	2.0	2	11	13	UHF	0.0410383630	0.0990188306	8.85039967e-01
1	cylinder	32	2.0	2	12	14	UHF	0.0402629664	0.0985933383	8.78276473e-01
1	cylinder	32	2.0	2	13	15	UHF	0.0407371195	0.0987283022	8.83278852e-01
1	cylinder	32	2.0	2	14	16	UHF	0.0403771647	0.0985752717	8.79831531e-01
1	cylinder	32	2.0	2	15	17	UHF	0.0405287693	0.0986099726	8.81489127e-01
1	cylinder	32	2.0	2	16	18	UHF	0.0405287693	0.0986099725	8.81489127e-01
1	cylinder	32	2.0	2	17	19	UHF	0.0403771647	0.0985752717	8.79831531e-01
1	cylinder	32	2.0	2	18	20	UHF	0.0407371195	0.0987283022	8.83278852e-01
1	cylinder	32	2.0	2	19	21	UHF	0.0402629664	0.0985933383	8.78276473e-01
1	cylinder	32	2.0	2	20	22	UHF	0.0410383630	0.0990188306	8.85039967e-01
1	cylinder	32	2.0	2	21	23	UHF	0.0401760163	0.0986596997	8.76726287e-01
1	cylinder	32	2.0	2	22	24	UHF	0.0415038728	0.0997078090	8.86093147e-01
1	cylinder	32	2.0	2	9	11	UHF-sym	0.0415038728	0.0332359363	1.14640372e+00
1	cylinder	32	2.0	2	10	12	UHF-sym	0.0401760163	0.0328865666	1.13832338e+00
1	cylinder	32	2.0	2	11	13	UHF-sym	0.0410383630	0.0330062769	1.14338658e+00
1	cylinder	32	2.0	2	12	14	UHF-sym	0.0402629664	0.0328644461	1.13878246e+00
1	cylinder	32	2.0	2	13	15	UHF-sym	0.0407371195	0.0329094341	1.14152983e+00
1	cylinder	32	2.0	2	14	16	UHF-sym	0.0403771647	0.0328584239	1.13941862e+00
1	cylinder	32	2.0	2	15	17	UHF-sym	0.0405287693	0.0328699909	1.14029223e+00
1	cylinder	32	2.0	2	16	18	UHF-sym	0.0405287693	0.0328699909	1.14029223e+00
1	cylinder	32	2.0	2	17	19	UHF-sym	0.0403771647	0.0328584239	1.13941862e+00
1	cylinder	32	2.0	2	18	20	UHF-sym	0.0407371195	0.0329094341	1.14152983e+00
1	cylinder	32	2.0	2	19	21	UHF-sym	0.0402629664	0.0328644461	1.13878246e+00
1	cylinder	32	2.0	2	20	22	UHF-sym	0.0410383630	0.0330062769	1.14338658e+00
1	cylinder	32	2.0	2	21	23	UHF-sym	0.0401760163	0.0328865666	1.13832338e+00
1	cylinder	32	2.0	2	22	24	UHF-sym	0.0415038728	0.0332359363	1.14640372e+00
1	cylinder	32	2.0	2	9	11	RHF	0.0415038728	0.0000000000	1.00000000e+00
1	cylinder	32	2.0	2	10	12	RHF	0.0401760163	-0.0000000000	1.00000000e+00
1	cylinder	32	2.0	2	11	13	RHF	0.0410383630	-0.0000000000	1.00000000e+00
1	cylinder	32	2.0	2	12	14	RHF	0.0402629664	0.0000000000	1.00000000e+00
1	cylinder	32	2.0	2	13	15	RHF	0.0407371195	-0.0000000000	1.00000000e+00
1	cylinder	32	2.0	2	14	16	RHF	0.0403771647	0.0000000000	1.00000000e+00
1	cylinder	32	2.0	2	15	17	RHF	0.0405287693	-0.0000000000	1.00000000e+00
