W	LX	geometry	U	Hvar	prior	kind	start	l	true	prior_val
1	16	torus	12.0	1.250e-10	UHF	P	1	1	-0.928439023286	-0.945601461375
1	16	torus	12.0	1.250e-10	UHF	P	1	2	0.928111963634	0.945976461361
1	16	torus	12.0	1.250e-10	UHF	P	1	3	-0.927799586164	-0.945966065779
1	16	torus	12.0	1.250e-10	UHF	P	1	4	0.927945130438	0.945966228435
1	16	torus	12.0	1.250e-10	UHF	P	1	5	-0.927833191518	-0.945966223923
1	16	torus	12.0	1.250e-10	UHF	P	1	6	0.927924628507	0.945966224010
1	16	torus	12.0	1.250e-10	UHF	P	1	7	-0.927842985238	-0.945966224007
1	16	torus	12.0	1.250e-10	UHF	P	1	8	0.927920144582	0.945966224007
1	16	torus	12.0	1.250e-10	chi2	P	1	1	-0.928439023286	-1.000000000000
1	16	torus	12.0	1.250e-10	chi2	P	1	2	0.928111963634	1.000000000000
1	16	torus	12.0	1.250e-10	chi2	P	1	3	-0.927799586164	-1.000000000000
1	16	torus	12.0	1.250e-10	chi2	P	1	4	0.927945130438	1.000000000000
1	16	torus	12.0	1.250e-10	chi2	P	1	5	-0.927833191518	-1.000000000000
1	16	torus	12.0	1.250e-10	chi2	P	1	6	0.927924628507	1.000000000000
1	16	torus	12.0	1.250e-10	chi2	P	1	7	-0.927842985238	-1.000000000000
1	16	torus	12.0	1.250e-10	chi2	P	1	8	0.927920144582	1.000000000000
1	16	torus	12.0	1.250e-10	chi4	P	1	1	-0.928439023286	-0.960148383581
1	16	torus	12.0	1.250e-10	chi4	P	1	2	0.928111963634	1.000000000000
1	16	torus	12.0	1.250e-10	chi4	P	1	3	-0.927799586164	-1.000000000000
1	16	torus	12.0	1.250e-10	chi4	P	1	4	0.927945130438	1.000000000000
1	16	torus	12.0	1.250e-10	chi4	P	1	5	-0.927833191518	-1.000000000000
1	16	torus	12.0	1.250e-10	chi4	P	1	6	0.927924628507	1.000000000000
1	16	torus	12.0	1.250e-10	chi4	P	1	7	-0.927842985238	-1.000000000000
1	16	torus	12.0	1.250e-10	chi4	P	1	8	0.927920144582	1.000000000000
1	16	torus	12.0	1.250e-10	chi8	P	1	1	-0.928439023286	-0.960762387471
1	16	torus	12.0	1.250e-10	chi8	P	1	2	0.928111963634	0.963046826344
1	16	torus	12.0	1.250e-10	chi8	P	1	3	-0.927799586164	-0.968169634897
1	16	torus	12.0	1.250e-10	chi8	P	1	4	0.927945130438	0.962285849075
1	16	torus	12.0	1.250e-10	chi8	P	1	5	-0.927833191518	-0.970426350219
1	16	torus	12.0	1.250e-10	chi8	P	1	6	0.927924628507	0.963165079898
1	16	torus	12.0	1.250e-10	chi8	P	1	7	-0.927842985238	-1.000000000000
1	16	torus	12.0	1.250e-10	chi8	P	1	8	0.927920144582	0.964369214155
1	16	torus	12.0	1.250e-10	chi16	P	1	1	-0.928439023286	-0.951043132824
1	16	torus	12.0	1.250e-10	chi16	P	1	2	0.928111963634	0.952094345710
1	16	torus	12.0	1.250e-10	chi16	P	1	3	-0.927799586164	-0.958003983987
1	16	torus	12.0	1.250e-10	chi16	P	1	4	0.927945130438	0.952957125326
1	16	torus	12.0	1.250e-10	chi16	P	1	5	-0.927833191518	-0.960158710444
1	16	torus	12.0	1.250e-10	chi16	P	1	6	0.927924628507	0.953582460120
1	16	torus	12.0	1.250e-10	chi16	P	1	7	-0.927842985238	-0.960958441830
1	16	torus	12.0	1.250e-10	chi16	P	1	8	0.927920144582	0.953799077792
