W	LX	geometry	U	Hvar	prior	kind	start	l	true	prior_val
1	32	cylinder	2.0	2.251e-11	UHF	P	9	1	-0.301904985321	-0.118184844705
1	32	cylinder	2.0	2.251e-11	UHF	P	9	2	0.356101062458	0.243348292295
1	32	cylinder	2.0	2.251e-11	UHF	P	9	3	-0.242250689535	-0.153078865497
1	32	cylinder	2.0	2.251e-11	UHF	P	9	4	0.298852631387	0.190121063552
1	32	cylinder	2.0	2.251e-11	UHF	P	9	5	-0.225365031637	-0.163890847995
1	32	cylinder	2.0	2.251e-11	UHF	P	9	6	0.279925604791	0.177278775718
1	32	cylinder	2.0	2.251e-11	UHF	P	9	7	-0.218450938205	-0.167793190780
1	32	cylinder	2.0	2.251e-11	UHF	P	9	8	0.271761965457	0.173152323469
1	32	cylinder	2.0	2.251e-11	UHF	P	9	9	-0.215110506012	-0.169314009034
1	32	cylinder	2.0	2.251e-11	UHF	P	9	10	0.268393443343	0.171727145577
1	32	cylinder	2.0	2.251e-11	UHF	P	9	11	-0.213381415432	-0.169913304260
1	32	cylinder	2.0	2.251e-11	UHF	P	9	12	0.267970344040	0.171388011307
1	32	cylinder	2.0	2.251e-11	UHF	P	9	13	-0.212536410953	-0.170086510949
1	32	cylinder	2.0	2.251e-11	UHF	P	9	14	0.270026946229	0.171773802302
1	32	cylinder	2.0	2.251e-11	UHF	P	9	15	-0.212331934916	-0.169919798809
1	32	cylinder	2.0	2.251e-11	UHF	P	9	16	0.274931830084	0.173207599318
1	32	cylinder	2.0	2.251e-11	chi2	P	9	1	-0.301904985321	-1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	2	0.356101062458	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	3	-0.242250689535	-1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	4	0.298852631387	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	5	-0.225365031637	-1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	6	0.279925604791	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	7	-0.218450938205	-1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	8	0.271761965457	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	9	-0.215110506012	-1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	10	0.268393443343	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	11	-0.213381415432	-1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	12	0.267970344040	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	13	-0.212536410953	-1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	14	0.270026946229	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	15	-0.212331934916	-1.000000000000
1	32	cylinder	2.0	2.251e-11	chi2	P	9	16	0.274931830084	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi4	P	9	1	-0.301904985321	-0.426034592084
1	32	cylinder	2.0	2.251e-11	chi4	P	9	2	0.356101062458	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi4	P	9	3	-0.242250689535	-0.425994019247
1	32	cylinder	2.0	2.251e-11	chi4	P	9	4	0.298852631387	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi4	P	9	5	-0.225365031637	-0.426001691398
1	32	cylinder	2.0	2.251e-11	chi4	P	9	6	0.279925604791	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi4	P	9	7	-0.218450938205	-0.426026767801
1	32	cylinder	2.0	2.251e-11	chi4	P	9	8	0.271761965457	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi4	P	9	9	-0.215110506012	-0.426055784006
1	32	cylinder	2.0	2.251e-11	chi4	P	9	10	0.268393443343	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi4	P	9	11	-0.213381415432	-0.426083551811
1	32	cylinder	2.0	2.251e-11	chi4	P	9	12	0.267970344040	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi4	P	9	13	-0.212536410953	-0.426111534924
1	32	cylinder	2.0	2.251e-11	chi4	P	9	14	0.270026946229	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi4	P	9	15	-0.212331934916	-0.426153112130
1	32	cylinder	2.0	2.251e-11	chi4	P	9	16	0.274931830084	1.000000000000
1	32	cylinder	2.0	2.251e-11	chi8	P	9	1	-0.301904985321	-0.318774403653
1	32	cylinder	2.0	2.251e-11	chi8	P	9	2	0.356101062458	0.356816988873
1	32	cylinder	2.0	2.251e-11	chi8	P	9	3	-0.242250689535	-0.260921362706
1	32	cylinder	2.0	2.251e-11	chi8	P	9	4	0.298852631387	0.337455003388
1	32	cylinder	2.0	2.251e-11	chi8	P	9	5	-0.225365031637	-0.264394467640
1	32	cylinder	2.0	2.251e-11	chi8	P	9	6	0.279925604791	0.334744845027
1	32	cylinder	2.0	2.251e-11	chi8	P	9	7	-0.218450938205	-0.265811968096
1	32	cylinder	2.0	2.251e-11	chi8	P	9	8	0.271761965457	0.333786749404
1	32	cylinder	2.0	2.251e-11	chi8	P	9	9	-0.215110506012	-0.266157223369
1	32	cylinder	2.0	2.251e-11	chi8	P	9	10	0.268393443343	0.333562283429
1	32	cylinder	2.0	2.251e-11	chi8	P	9	11	-0.213381415432	-0.265883817472
1	32	cylinder	2.0	2.251e-11	chi8	P	9	12	0.267970344040	0.333959654145
1	32	cylinder	2.0	2.251e-11	chi8	P	9	13	-0.212536410953	-0.265031067318
1	32	cylinder	2.0	2.251e-11	chi8	P	9	14	0.270026946229	0.335159485714
1	32	cylinder	2.0	2.251e-11	chi8	P	9	15	-0.212331934916	-0.263515075140
1	32	cylinder	2.0	2.251e-11	chi8	P	9	16	0.274931830084	0.337696575246
1	32	cylinder	2.0	2.251e-11	chi16	P	9	1	-0.301904985321	-0.307098135069
1	32	cylinder	2.0	2.251e-11	chi16	P	9	2	0.356101062458	0.353441181089
1	32	cylinder	2.0	2.251e-11	chi16	P	9	3	-0.242250689535	-0.237245298760
1	32	cylinder	2.0	2.251e-11	chi16	P	9	4	0.298852631387	0.300222026485
1	32	cylinder	2.0	2.251e-11	chi16	P	9	5	-0.225365031637	-0.226088796926
1	32	cylinder	2.0	2.251e-11	chi16	P	9	6	0.279925604791	0.288044296782
1	32	cylinder	2.0	2.251e-11	chi16	P	9	7	-0.218450938205	-0.223898281411
1	32	cylinder	2.0	2.251e-11	chi16	P	9	8	0.271761965457	0.284868462222
1	32	cylinder	2.0	2.251e-11	chi16	P	9	9	-0.215110506012	-0.223404459694
1	32	cylinder	2.0	2.251e-11	chi16	P	9	10	0.268393443343	0.284462810823
1	32	cylinder	2.0	2.251e-11	chi16	P	9	11	-0.213381415432	-0.223145947518
1	32	cylinder	2.0	2.251e-11	chi16	P	9	12	0.267970344040	0.285506531455
1	32	cylinder	2.0	2.251e-11	chi16	P	9	13	-0.212536410953	-0.222871485718
1	32	cylinder	2.0	2.251e-11	chi16	P	9	14	0.270026946229	0.287989196859
1	32	cylinder	2.0	2.251e-11	chi16	P	9	15	-0.212331934916	-0.222636858385
1	32	cylinder	2.0	2.251e-11	chi16	P	9	16	0.274931830084	0.292563776061
1	32	cylinder	2.0	2.251e-11	chi32	P	9	1	-0.301904985321	-0.302205323444
1	32	cylinder	2.0	2.251e-11	chi32	P	9	2	0.356101062458	0.355605713220
1	32	cylinder	2.0	2.251e-11	chi32	P	9	3	-0.242250689535	-0.244767685544
1	32	cylinder	2.0	2.251e-11	chi32	P	9	4	0.298852631387	0.299800101822
1	32	cylinder	2.0	2.251e-11	chi32	P	9	5	-0.225365031637	-0.225358161808
1	32	cylinder	2.0	2.251e-11	chi32	P	9	6	0.279925604791	0.278824470502
1	32	cylinder	2.0	2.251e-11	chi32	P	9	7	-0.218450938205	-0.217567625766
1	32	cylinder	2.0	2.251e-11	chi32	P	9	8	0.271761965457	0.270379657408
1	32	cylinder	2.0	2.251e-11	chi32	P	9	9	-0.215110506012	-0.214471458006
1	32	cylinder	2.0	2.251e-11	chi32	P	9	10	0.268393443343	0.267516903633
1	32	cylinder	2.0	2.251e-11	chi32	P	9	11	-0.213381415432	-0.213275878041
1	32	cylinder	2.0	2.251e-11	chi32	P	9	12	0.267970344040	0.267739352082
1	32	cylinder	2.0	2.251e-11	chi32	P	9	13	-0.212536410953	-0.212893019221
1	32	cylinder	2.0	2.251e-11	chi32	P	9	14	0.270026946229	0.270331093441
1	32	cylinder	2.0	2.251e-11	chi32	P	9	15	-0.212331934916	-0.212980643326
1	32	cylinder	2.0	2.251e-11	chi32	P	9	16	0.274931830084	0.275605361646
1	32	cylinder	2.0	2.251e-11	chi64	P	9	1	-0.301904985321	-0.301917707001
1	32	cylinder	2.0	2.251e-11	chi64	P	9	2	0.356101062458	0.355529509754
1	32	cylinder	2.0	2.251e-11	chi64	P	9	3	-0.242250689535	-0.242414021620
1	32	cylinder	2.0	2.251e-11	chi64	P	9	4	0.298852631387	0.298990167707
1	32	cylinder	2.0	2.251e-11	chi64	P	9	5	-0.225365031637	-0.225427620832
1	32	cylinder	2.0	2.251e-11	chi64	P	9	6	0.279925604791	0.279866593745
1	32	cylinder	2.0	2.251e-11	chi64	P	9	7	-0.218450938205	-0.218295296091
1	32	cylinder	2.0	2.251e-11	chi64	P	9	8	0.271761965457	0.271523390874
1	32	cylinder	2.0	2.251e-11	chi64	P	9	9	-0.215110506012	-0.214815416352
1	32	cylinder	2.0	2.251e-11	chi64	P	9	10	0.268393443343	0.268055444266
1	32	cylinder	2.0	2.251e-11	chi64	P	9	11	-0.213381415432	-0.213054821849
1	32	cylinder	2.0	2.251e-11	chi64	P	9	12	0.267970344040	0.267618242880
1	32	cylinder	2.0	2.251e-11	chi64	P	9	13	-0.212536410953	-0.212251386670
1	32	cylinder	2.0	2.251e-11	chi64	P	9	14	0.270026946229	0.269721305137
1	32	cylinder	2.0	2.251e-11	chi64	P	9	15	-0.212331934916	-0.212123504282
1	32	cylinder	2.0	2.251e-11	chi64	P	9	16	0.274931830084	0.274705694044
1	32	cylinder	2.0	2.251e-11	chi128	P	9	1	-0.301904985321	-0.301905451840
1	32	cylinder	2.0	2.251e-11	chi128	P	9	2	0.356101062458	0.356090049092
1	32	cylinder	2.0	2.251e-11	chi128	P	9	3	-0.242250689535	-0.242273856976
1	32	cylinder	2.0	2.251e-11	chi128	P	9	4	0.298852631387	0.298805887818
1	32	cylinder	2.0	2.251e-11	chi128	P	9	5	-0.225365031637	-0.225328245930
1	32	cylinder	2.0	2.251e-11	chi128	P	9	6	0.279925604791	0.279861741254
1	32	cylinder	2.0	2.251e-11	chi128	P	9	7	-0.218450938205	-0.218416967535
1	32	cylinder	2.0	2.251e-11	chi128	P	9	8	0.271761965457	0.271696546866
1	32	cylinder	2.0	2.251e-11	chi128	P	9	9	-0.215110506012	-0.215065645315
1	32	cylinder	2.0	2.251e-11	chi128	P	9	10	0.268393443343	0.268310717979
1	32	cylinder	2.0	2.251e-11	chi128	P	9	11	-0.213381415432	-0.213318344518
1	32	cylinder	2.0	2.251e-11	chi128	P	9	12	0.267970344040	0.267871138800
1	32	cylinder	2.0	2.251e-11	chi128	P	9	13	-0.212536410953	-0.212463660679
1	32	cylinder	2.0	2.251e-11	chi128	P	9	14	0.270026946229	0.269923339863
1	32	cylinder	2.0	2.251e-11	chi128	P	9	15	-0.212331934916	-0.212262863372
1	32	cylinder	2.0	2.251e-11	chi128	P	9	16	0.274931830084	0.274838745539
1	32	cylinder	2.0	2.251e-11	chi256	P	9	1	-0.301904985321	-0.301904992200
1	32	cylinder	2.0	2.251e-11	chi256	P	9	2	0.356101062458	0.356100691583
1	32	cylinder	2.0	2.251e-11	chi256	P	9	3	-0.242250689535	-0.242251492380
