L	U	prior	global_fid	observable	nA	single_pauli	true	prior_val	Delta	eps	G	G_max
8	8.0	chi2	5.7930314480e-01	ZZ onsite	2	true	-0.8524184169	-1.0000000000	1.475816e-01	1.731328e-01	29.356945	237.255469
8	8.0	chi4	9.0599779761e-01	ZZ onsite	2	true	-0.8524184169	-0.9089961861	5.657777e-02	6.637324e-02	116.256031	237.255469
8	8.0	chi8	9.9776980613e-01	ZZ onsite	2	true	-0.8524184169	-0.8534145440	9.961271e-04	1.168589e-03	237.178948	237.255469
8	8.0	chi16	9.9996686372e-01	ZZ onsite	2	true	-0.8524184169	-0.8524468486	2.843174e-05	3.335420e-05	237.255407	237.255469
8	8.0	chi32	9.9999945219e-01	ZZ onsite	2	true	-0.8524184169	-0.8524189079	4.909852e-07	5.759909e-07	237.255469	237.255469
8	8.0	chi64	9.9999999665e-01	ZZ onsite	2	true	-0.8524184169	-0.8524184196	2.753006e-09	3.229642e-09	237.255469	237.255469
8	8.0	UHF	1.6016079509e-01	ZZ onsite	2	true	-0.8524184169	-0.8808487888	2.843037e-02	3.335260e-02	187.879044	237.255469
8	8.0	chi2	5.7930314480e-01	ZZ up-up r=1	2	true	-0.3889306977	-0.0000000000	-3.889307e-01	1.000000e+00	1.000000	16.842397
8	8.0	chi4	9.0599779761e-01	ZZ up-up r=1	2	true	-0.3889306977	-0.3731961282	-1.573457e-02	4.045597e-02	16.416727	16.842397
8	8.0	chi8	9.9776980613e-01	ZZ up-up r=1	2	true	-0.3889306977	-0.3894961605	5.654628e-04	1.453891e-03	16.841833	16.842397
8	8.0	chi16	9.9996686372e-01	ZZ up-up r=1	2	true	-0.3889306977	-0.3888117697	-1.189279e-04	3.057817e-04	16.842372	16.842397
8	8.0	chi32	9.9999945219e-01	ZZ up-up r=1	2	true	-0.3889306977	-0.3889282538	-2.443890e-06	6.283614e-06	16.842397	16.842397
8	8.0	chi64	9.9999999665e-01	ZZ up-up r=1	2	true	-0.3889306977	-0.3889305435	-1.541037e-07	3.962241e-07	16.842397	16.842397
8	8.0	UHF	1.6016079509e-01	ZZ up-up r=1	2	true	-0.3889306977	-0.9395089445	5.505782e-01	1.415620e+00	0.514305	16.842397
8	8.0	chi2	5.7930314480e-01	DoubleOcc	2	false	0.0368953958	0.0000000000	3.689540e-02	1.000000e+00	1.000000	1.121167
8	8.0	chi4	9.0599779761e-01	DoubleOcc	2	false	0.0368953958	0.0227509535	1.414444e-02	3.833661e-01	1.101551	1.121167
8	8.0	chi8	9.9776980613e-01	DoubleOcc	2	false	0.0368953958	0.0366463640	2.490318e-04	6.749671e-03	1.121161	1.121167
8	8.0	chi16	9.9996686372e-01	DoubleOcc	2	false	0.0368953958	0.0368882878	7.107934e-06	1.926510e-04	1.121167	1.121167
8	8.0	chi32	9.9999945219e-01	DoubleOcc	2	false	0.0368953958	0.0368952730	1.227463e-07	3.326872e-06	1.121167	1.121167
8	8.0	chi64	9.9999999665e-01	DoubleOcc	2	false	0.0368953958	0.0368953951	6.882509e-10	1.865411e-08	1.121167	1.121167
8	8.0	UHF	1.6016079509e-01	DoubleOcc	2	false	0.0368953958	0.0297878028	7.107593e-03	1.926417e-01	1.116148	1.121167
8	8.0	chi2	5.7930314480e-01	SzSz r=1	4	false	-0.0904341595	-0.0000000000	-9.043416e-02	1.000000e+00	1.000000	1.814397
8	8.0	chi4	9.0599779761e-01	SzSz r=1	4	false	-0.0904341595	-0.0932990321	2.864873e-03	3.167910e-02	1.812916	1.814397
8	8.0	chi8	9.9776980613e-01	SzSz r=1	4	false	-0.0904341595	-0.0906075677	1.734082e-04	1.917507e-03	1.814392	1.814397
8	8.0	chi16	9.9996686372e-01	SzSz r=1	4	false	-0.0904341595	-0.0904311832	-2.976259e-06	3.291078e-05	1.814397	1.814397
8	8.0	chi32	9.9999945219e-01	SzSz r=1	4	false	-0.0904341595	-0.0904337002	-4.593058e-07	5.078897e-06	1.814397	1.814397
8	8.0	chi64	9.9999999665e-01	SzSz r=1	4	false	-0.0904341595	-0.0904341317	-2.779263e-08	3.073244e-07	1.814397	1.814397
8	8.0	UHF	1.6016079509e-01	SzSz r=1	4	false	-0.0904341595	-0.2275447167	1.371106e-01	1.516137e+00	0.631747	1.814397
8	8.0	chi2	5.7930314480e-01	Sz	2	false	0.0000000000	0.0000000000	-7.625076e-12	6.683612e-01	1.000000	1.000000
8	8.0	chi4	9.0599779761e-01	Sz	2	false	0.0000000000	0.0000000000	-8.488915e-13	7.440793e-02	1.000000	1.000000
8	8.0	chi8	9.9776980613e-01	Sz	2	false	0.0000000000	0.0000000000	-5.939298e-14	5.205976e-03	1.000000	1.000000
8	8.0	chi16	9.9996686372e-01	Sz	2	false	0.0000000000	0.0000000000	-2.779083e-15	2.435951e-04	1.000000	1.000000
8	8.0	chi32	9.9999945219e-01	Sz	2	false	0.0000000000	0.0000000000	-6.984046e-15	6.121730e-04	1.000000	1.000000
8	8.0	chi64	9.9999999665e-01	Sz	2	false	0.0000000000	0.0000000000	-6.737710e-15	5.905808e-04	1.000000	1.000000
8	8.0	UHF	1.6016079509e-01	Sz	2	false	0.0000000000	-0.4692677244	4.692677e-01	4.113275e+10	0.048604	1.000000
