config	t_L	t_S	U	nu	nm	observable	true	prior	Delta	sd_std	sd_crm_old	sd_crm_new	G_emp	G_theo	HF_fid	gap
uniform	1.0	1.0	1.0	50	10	Z(1u)  |A|=1	-1.4155343563970746e-15	-0.5706116008233967	0.5706116008233952	0.07803712297883662	0.15291854172078037	0.136353081501606	0.32754621486830593	0.31539267716491853	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	10	ZZ(1u,1d) |A|=2	-0.4220129110862928	-0.3255975989942397	-0.09641531209205312	0.22435298730922412	0.17818825909243283	0.14200935957889874	2.4959149104130307	2.6587911993686437	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	10	ZZZZ(1,3) |A|=4	0.09721901073178123	0.019943992673121008	0.07727501805866022	0.4075562544023985	0.5423891669661287	0.40130436009316645	1.0314005720421193	1.0327494970462399	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	10	DoubleOcc site1	0.14449677222842686	0.16860060025143997	-0.024103828023013113	0.059818632918356686	0.06868109228299976	0.05916661091250563	1.0221616438662482	NaN	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	10	Sz1*Sz3	0.04044260068550767	0.05835260007300449	-0.017909999387496822	0.02092461399384603	0.027676502900729174	0.019893852965334614	1.1063106741873863	NaN	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	10	Fidelity	0.4934106094247347	1.0	-0.5065893905752653	0.16311690434212742	0.21571889062359678	0.15515333712589377	1.1052886219493052	NaN	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	100	Z(1u)  |A|=1	-1.4155343563970746e-15	-0.5706116008233967	0.5706116008233952	0.026639655029682772	0.11265524765460598	0.10897117989637106	0.05976320593309538	0.0440402399908103	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	100	ZZ(1u,1d) |A|=2	-0.4220129110862928	-0.3255975989942397	-0.09641531209205312	0.17048646358974276	0.06928133495296061	0.056737533299837016	9.028984411998824	10.103432517220927	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	100	ZZZZ(1,3) |A|=4	0.09721901073178123	0.019943992673121008	0.07727501805866022	0.17406699237122997	0.2244967549182932	0.15944661644106425	1.1917968561192138	1.217496781757609	0.4934106094247347	0.04789623655216335
uniform	1.0	1.0	1.0	50	100	DoubleOcc site1	0.14449677222842686	0.16860060025143997	-0.024103828023013113	0.043511593992969784	0.042005109138277374	0.04032846063976156	1.1640903705445045	NaN	0.4934106094247347	0.04789623655216335
