U	doping	L	chi_prior	observable	prior_fid	S_center	median_absDelta	mean_absDelta	max_absDelta	median_absP	median_relerr	max_relerr	n_relerr
0.0	0.0	8	4	SzSz r=1	0.4378392027406834	1.3037397286954624	0.03210104945770431	0.03809711107023661	0.05315953341455712	0.07184046658680507	0.7399664275610499	1.0000000004582021	7
0.0	0.0	8	4	hop up r=1	0.4378392027406834	1.3037397286954624	0.24189464012272177	0.32542950919429314	0.5287522659022413	0.7581053598772798	0.3190778655909768	1.0	7
0.0	0.0	8	4	DoubleOcc	0.4378392027406834	1.3037397286954624	8.069049595160749e-11	2.464596235429717e-10	8.894457392827348e-10	0.24999999999838438	3.2276198380549353e-10	3.5577829572954784e-9	8
0.0	0.0	8	4	ZZ up-up r=1	0.4378392027406834	1.3037397286954624	0.256808395388865	0.30477688848787254	0.42527626757253767	0.5747237324274639	0.7399664283503586	1.0000000000000002	7
0.0	0.0	8	4	Sz	0.4378392027406834	1.3037397286954624	2.0720890281378246e-11	4.751835513613911e-11	1.495979624899224e-10	8.730446920957036e-13	NaN	NaN	0
0.0	0.0	8	4	ZZ onsite	0.4378392027406834	1.3037397286954624	1.0017016729970274e-11	8.314907659970106e-11	3.0690289198886944e-10	1.0837321057916016e-11	NaN	NaN	0
0.0	0.0	8	4	n	0.4378392027406834	1.3037397286954624	1.5673873310362296e-10	4.898110667062028e-10	1.6421514148490246e-9	1.0000000000017644	1.5673873310304525e-10	1.6421514148589222e-9	8
0.0	0.0	8	8	SzSz r=1	0.9029859428513796	1.3037397286954624	0.00508945246614817	0.009428992880898794	0.01943079877672011	0.07184046658680507	0.0547848219400381	0.5587151153208778	7
0.0	0.0	8	8	hop up r=1	0.9029859428513796	1.3037397286954624	0.029869795963271106	0.051593022105258006	0.09681154291874239	0.7581053598772798	0.03464829397664313	0.18309433199978276	7
0.0	0.0	8	8	DoubleOcc	0.9029859428513796	1.3037397286954624	4.118133611896724e-10	4.963220945342073e-10	1.2794680315231233e-9	0.24999999999838438	1.6472534448268552e-9	5.117872125931332e-9	8
0.0	0.0	8	8	ZZ up-up r=1	0.9029859428513796	1.3037397286954624	0.04071922549566087	0.07547619062871631	0.15548413730488886	0.5747237324274639	0.054789673676368604	0.558722477606366	7
0.0	0.0	8	8	Sz	0.9029859428513796	1.3037397286954624	2.4476497217928994e-12	4.618842634751541e-12	1.3438465618076378e-11	8.730446920957036e-13	NaN	NaN	0
0.0	0.0	8	8	ZZ onsite	0.9029859428513796	1.3037397286954624	2.9954920488517445e-11	3.174484631326274e-10	1.405367524610901e-9	1.0837321057916016e-11	NaN	NaN	0
0.0	0.0	8	8	n	0.9029859428513796	1.3037397286954624	8.820780772467174e-10	1.0200284644712454e-9	2.090065343018921e-9	1.0000000000017644	8.82078077243709e-10	2.0900653430315184e-9	8
0.0	0.0	8	16	SzSz r=1	0.9895169004713881	1.3037397286954624	0.0003403123365799815	0.0006794198913806132	0.0028234440459738996	0.07184046658680507	0.006882406851106373	0.03930158279121153	7
0.0	0.0	8	16	hop up r=1	0.9895169004713881	1.3037397286954624	0.0008986127882467665	0.0014354917122066618	0.003938645726982437	0.7581053598772798	0.0010423706976984393	0.005195380398867007	7
0.0	0.0	8	16	DoubleOcc	0.9895169004713881	1.3037397286954624	3.116729097030202e-12	3.983518376271533e-12	9.236555964520221e-12	0.24999999999838438	1.2466916388192777e-11	3.694622385978956e-11	8
0.0	0.0	8	16	ZZ up-up r=1	0.9895169004713881	1.3037397286954624	0.001529781646820605	0.0021948894217656396	0.006260147332791122	0.5747237324274639	0.002058394682244886	0.010892446195583575	7
0.0	0.0	8	16	Sz	0.9895169004713881	1.3037397286954624	6.718792189275291e-13	9.117125457369646e-13	2.0481394358284888e-12	8.730446920957036e-13	NaN	NaN	0
0.0	0.0	8	16	ZZ onsite	0.9895169004713881	1.3037397286954624	1.2873535570889771e-11	1.2905762613105165e-11	2.8418830656795624e-11	1.0837321057916016e-11	NaN	NaN	0
0.0	0.0	8	16	n	0.9895169004713881	1.3037397286954624	2.95335977895661e-12	3.227793032856141e-12	6.811995412192573e-12	1.0000000000017644	2.9533597789617098e-12	6.811995412265344e-12	8
0.0	0.0	8	32	SzSz r=1	0.9998840694370585	1.3037397286954624	9.97391892525179e-6	3.4226859941918564e-5	9.742806329263165e-5	0.07184046658680507	0.0001073630957373806	0.0013561724735231945	7
0.0	0.0	8	32	hop up r=1	0.9998840694370585	1.3037397286954624	6.111325811986035e-5	8.672274695150004e-5	0.0002269632090117213	0.7581053598772798	7.089000994643224e-5	0.0002993821453108596	7
