U	doping	L	E0	N_el	maxlinkdim	S_center
0.0	0.0	8	-9.517540961761203	8	136	1.3037397286954275
0.0	0.0	16	-19.675902848184432	16	256	1.518184160531748
0.0	0.0	32	-40.0327669249178	32	256	1.7402161836863819
0.0	0.0	64	-80.76836817018497	64	256	1.958723886895356
0.0	0.0	128	-162.24965054879067	128	256	2.125010164398773
1.0	0.0	8	-11.69483319982681	8	151	1.2737001541698494
1.0	0.0	16	-23.9939498728248	16	256	1.475539307056593
1.0	0.0	32	-48.62727816493797	32	256	1.6818171651599327
1.0	0.0	64	-97.91262924346587	64	256	1.882403366249244
1.0	0.0	128	-196.49180372321973	128	256	2.035930701951387
2.0	0.0	8	-14.225634144390561	8	143	1.1949492625038856
2.0	0.0	16	-28.96671673081496	16	256	1.355807993762908
2.0	0.0	32	-58.47026673686692	32	256	1.502716983006436
2.0	0.0	64	-117.48717923584034	64	256	1.6281999601964898
2.0	0.0	128	-235.52533121212048	128	256	1.7313422113135633
4.0	0.0	8	-20.235806998668583	8	123	1.022372228594836
4.0	0.0	16	-40.81876745260009	16	256	1.1239828959530922
4.0	0.0	32	-81.99457830198602	32	256	1.2258671851079
4.0	0.0	64	-164.35183147519982	64	256	1.3310193410992666
4.0	0.0	128	-329.0694027038996	128	256	1.4378321222705064
8.0	0.0	8	-34.42083139970635	8	74	0.8748160102032989
8.0	0.0	16	-69.0371340874683	16	148	0.9689928196625278
8.0	0.0	32	-138.27537903032285	32	225	1.069180963571372
8.0	0.0	64	-276.75513714005547	64	256	1.1733605468333028
8.0	0.0	128	-553.7164473302636	128	256	1.2801467814209029
4.0	0.125	8	-19.2506202842028	7	99	1.2936235971166403
4.0	0.125	16	-39.094858694591956	14	256	1.4680260693684501
4.0	0.125	32	-78.65869436453802	28	256	1.6865092634150818
4.0	0.125	64	-157.7981991994684	56	256	1.9042709548348205
4.0	0.125	128	-316.0824557153993	112	256	2.065282160184279
8.0	0.125	8	-31.84372852043135	7	81	1.29005463615934
8.0	0.125	16	-64.06665169952937	14	256	1.4076693549697619
8.0	0.125	32	-128.43382679189105	28	256	1.6299093215947953
8.0	0.125	64	-257.17219537394027	56	256	1.8515236673949966
8.0	0.125	128	-514.6502127817046	112	256	2.0129096928843513
