L	n_u	n_m	n_repeat	observable	nterms	prior	true	Delta	sd_std	sd_crm	G
8	50	100	300	ZZ onsite	1	chi2	-0.599724290633531	0.40027570936646895	0.24620340131701446	0.15787533555283337	2.431977337566864
8	50	100	300	ZZ onsite	1	chi4	-0.599724290633531	0.03399666828282255	0.24620340131701446	0.0348051107751556	50.03824350304759
8	50	100	300	ZZ onsite	1	chi8	-0.599724290633531	-0.0024502346616934734	0.24620340131701446	0.034321786381317505	51.45745809164647
8	50	100	300	ZZ onsite	1	chi32	-0.599724290633531	-7.736944911851396e-6	0.24620340131701446	0.03416227959698001	51.93909897047301
8	50	100	300	ZZ onsite	1	exact	-0.599724290633531	0.0	0.24620340131701446	0.03416181712676269	51.940505245138574
8	50	100	300	DoubleOcc	4	chi2	0.10006892733917228	0.10006892733917228	0.061640710258756864	0.04071804063858725	2.2917198452434224
8	50	100	300	DoubleOcc	4	chi4	0.10006892733917228	0.008499167078370423	0.061640710258756864	0.011968573678400178	26.52469954699233
8	50	100	300	DoubleOcc	4	chi8	0.10006892733917228	-0.000612558647755751	0.061640710258756864	0.011743558536836262	27.55090280851416
8	50	100	300	DoubleOcc	4	chi32	0.10006892733917228	-1.9342364396268685e-6	0.061640710258756864	0.011723739338917193	27.644132165199302
8	50	100	300	DoubleOcc	4	exact	0.10006892733917228	0.0	0.061640710258756864	0.011723684513941212	27.644390717435837
8	50	100	300	SzSz r=1	4	chi2	-0.06980259492960687	0.006095784422398456	0.018195141138713167	0.00675641401603806	7.252343220451741
8	50	100	300	SzSz r=1	4	chi4	-0.06980259492960687	-0.06980259492960687	0.018195141138713167	0.018055320322806226	1.0155480158983379
8	50	100	300	SzSz r=1	4	chi8	-0.06980259492960687	6.105015250831847e-5	0.018195141138713167	0.006014803528597312	9.150987577607939
8	50	100	300	SzSz r=1	4	chi32	-0.06980259492960687	-9.515011272664964e-6	0.018195141138713167	0.006011193853434329	9.161981071126414
8	50	100	300	SzSz r=1	4	exact	-0.06980259492960687	0.0	0.018195141138713167	0.006011315306933646	9.161610854838026
8	50	100	300	hop r=1	2	chi2	0.39097164277893914	0.39097164277893914	0.20413755936576863	0.20413755936576863	1.0
8	50	100	300	hop r=1	2	chi4	0.39097164277893914	0.13330368337695203	0.20413755936576863	0.0842422657321453	5.871996100285983
8	50	100	300	hop r=1	2	chi8	0.39097164277893914	0.002717423348741199	0.20413755936576863	0.04719731969226281	18.707302297604784
8	50	100	300	hop r=1	2	chi32	0.39097164277893914	1.466707797659339e-5	0.20413755936576863	0.047082038128024584	18.79902506114464
8	50	100	300	hop r=1	2	exact	0.39097164277893914	0.0	0.20413755936576863	0.047081517396909994	18.799440905490787
