W	LX	geometry	U	Hvar	state	kind	i	j	name	value
1	16	torus	4.0	1.048e-09	true	bond	1	2	Za	-0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zab	-0.599949852024
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zabc	0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zabcd	0.594669234829
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zabd	-0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zac	-0.518554012505
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zacd	0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zad	0.344848827772
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zb	0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zbc	0.344848827772
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zbcd	-0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zbd	-0.518554012505
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zc	-0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zcd	-0.599949852022
1	16	torus	4.0	1.048e-09	true	bond	1	2	Zd	0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	hopD	0.487976041832
1	16	torus	4.0	1.048e-09	true	bond	1	2	hopD_Za	-0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	hopD_Zc	-0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	hopU	0.487976041832
1	16	torus	4.0	1.048e-09	true	bond	1	2	hopU_Zb	0.000000000000
1	16	torus	4.0	1.048e-09	true	bond	1	2	hopU_Zd	0.000000000000
1	16	torus	4.0	1.048e-09	true	dist	1	2	FF	0.594669234829
1	16	torus	4.0	1.048e-09	true	dist	1	2	hopU	0.487976041832
1	16	torus	4.0	1.048e-09	true	dist	1	3	FF	0.369871601929
1	16	torus	4.0	1.048e-09	true	dist	1	3	hopU	-0.000000000000
1	16	torus	4.0	1.048e-09	true	dist	1	4	FF	0.364345596709
1	16	torus	4.0	1.048e-09	true	dist	1	4	hopU	-0.096978566564
1	16	torus	4.0	1.048e-09	true	dist	1	5	FF	0.360468856181
1	16	torus	4.0	1.048e-09	true	dist	1	5	hopU	-0.000000000000
1	16	torus	4.0	1.048e-09	true	dist	1	6	FF	0.360203470078
1	16	torus	4.0	1.048e-09	true	dist	1	6	hopU	0.032929428642
1	16	torus	4.0	1.048e-09	true	dist	1	7	FF	0.359706146493
1	16	torus	4.0	1.048e-09	true	dist	1	7	hopU	-0.000000000000
1	16	torus	4.0	1.048e-09	true	dist	1	8	FF	0.359755889556
1	16	torus	4.0	1.048e-09	true	dist	1	8	hopU	-0.008517271575
1	16	torus	4.0	1.048e-09	true	dist	1	9	FF	0.359621358817
1	16	torus	4.0	1.048e-09	true	dist	1	9	hopU	0.000000000000
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Za	0.768969517322
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zab	-0.591314118571
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zabc	0.602828392638
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zabcd	0.614566876652
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zabd	-0.602828392638
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zac	-0.783943159069
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zacd	-0.602828392638
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zad	0.591314118571
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zb	-0.768969517322
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zbc	0.591314118571
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zbcd	0.602828392638
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zbd	-0.783943159070
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zc	-0.768969517322
1	16	torus	4.0	1.048e-09	UHF	bond	1	2	Zcd	-0.591314118571
