W	LX	geometry	U	Hvar	state	kind	i	j	name	value
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Za	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zab	-0.853383990831
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zabc	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zabcd	0.839438169389
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zabd	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zac	-0.486432564178
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zacd	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zad	0.423696742454
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zb	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zbc	0.423696742454
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zbcd	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zbd	-0.486432564178
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zc	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zcd	-0.853383990831
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	Zd	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	hopD	0.282865174212
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	hopD_Za	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	hopD_Zc	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	hopU	0.282865174212
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	hopU_Zb	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	16	17	hopU_Zd	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Za	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zab	-0.853383990831
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zabc	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zabcd	0.864731703638
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zabd	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zac	-0.647201884740
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zacd	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zad	0.570779119461
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zb	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zbc	0.570779119461
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zbcd	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zbd	-0.647201884740
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zc	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zcd	-0.853454309589
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	Zd	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	hopD	0.338021374077
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	hopD_Za	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	hopD_Zc	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	hopU	0.338021374077
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	hopU_Zb	-0.000000000000
1	32	cylinder	8.0	5.629e-11	true	bond	17	18	hopU_Zd	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	dist	16	17	FF	0.839438169389
1	32	cylinder	8.0	5.629e-11	true	dist	16	17	hopU	0.282865174212
1	32	cylinder	8.0	5.629e-11	true	dist	16	18	FF	0.730855531094
1	32	cylinder	8.0	5.629e-11	true	dist	16	18	hopU	0.000000000000
1	32	cylinder	8.0	5.629e-11	true	dist	16	19	FF	0.728686910979
1	32	cylinder	8.0	5.629e-11	true	dist	16	19	hopU	-0.018929532139
1	32	cylinder	8.0	5.629e-11	true	dist	16	20	FF	0.728396966722
1	32	cylinder	8.0	5.629e-11	true	dist	16	20	hopU	-0.000000000006
1	32	cylinder	8.0	5.629e-11	true	dist	16	21	FF	0.728150492809
1	32	cylinder	8.0	5.629e-11	true	dist	16	21	hopU	0.002336256040
1	32	cylinder	8.0	5.629e-11	true	dist	16	22	FF	0.728467096241
