L	n_u	n_m	n_repeat	observable	absA	prior	true	Delta	G	G_theory	CI_relwidth
16	50	100	300	Sz  |A|=1	1	chi2	6.825333007109968e-11	-8.293536743822494e-8	1.000000013682803	NaN	1.1257644275059602e-9
16	50	100	300	Sz  |A|=1	1	chi4	6.825333007109968e-11	-8.397395851594824e-9	1.0000000135576275	NaN	1.1257644275059602e-9
16	50	100	300	Sz  |A|=1	1	chi8	6.825333007109968e-11	3.612213861359237e-10	0.9999999987726209	NaN	1.1257644275059602e-9
16	50	100	300	Sz  |A|=1	1	chi32	6.825333007109968e-11	6.841992250539164e-13	0.9999999999840108	NaN	1.1257644275059602e-9
16	50	100	300	Sz  |A|=1	1	exact	6.825333007109968e-11	0.0	1.0000000000000153	NaN	1.1257644275059602e-9
16	50	100	300	ZZ onsite |A|=2	2	chi2	-0.5985704920183841	0.40142950798161536	2.311386537797579	50.58961184532023	0.10384861729877722
16	50	100	300	ZZ onsite |A|=2	2	chi4	-0.5985704920183841	0.14172611448061567	14.643921394807814	50.58961184532023	0.10384861729877722
16	50	100	300	ZZ onsite |A|=2	2	chi8	-0.5985704920183841	-0.002375888552378913	47.64057352989979	50.58961184532023	0.10384861729877722
16	50	100	300	ZZ onsite |A|=2	2	chi32	-0.5985704920183841	-8.800334999614634e-6	47.90534149254915	50.58961184532023	0.10384861729877722
16	50	100	300	ZZ onsite |A|=2	2	exact	-0.5985704920183841	0.0	47.90620362056076	50.58961184532023	0.10384861729877722
16	50	100	300	ZZ up-up |A|=2	2	chi2	-0.3978048604828066	-0.05588934129602918	15.491048951564297	17.675482778502886	0.12170188050767257
16	50	100	300	ZZ up-up |A|=2	2	chi4	-0.3978048604828066	-0.33694326491432003	1.3681996391271651	17.675482778502886	0.12170188050767257
16	50	100	300	ZZ up-up |A|=2	2	chi8	-0.3978048604828066	-0.004365509915066401	22.13291339312777	17.675482778502886	0.12170188050767257
16	50	100	300	ZZ up-up |A|=2	2	chi32	-0.3978048604828066	-0.00014386712555558567	22.219292801036783	17.675482778502886	0.12170188050767257
16	50	100	300	ZZ up-up |A|=2	2	exact	-0.3978048604828066	0.0	22.220388176230205	17.675482778502886	0.12170188050767257
16	50	100	300	DoubleOcc |A|=2	2	chi2	0.10035737699017858	0.10035737699017855	2.193064914703295	NaN	0.10923976032753502
16	50	100	300	DoubleOcc |A|=2	2	chi4	0.10035737699017858	0.0354315229591369	11.94576018321725	NaN	0.10923976032753502
16	50	100	300	DoubleOcc |A|=2	2	chi8	0.10035737699017858	-0.0005939715950023794	30.691101998781473	NaN	0.10923976032753502
16	50	100	300	DoubleOcc |A|=2	2	chi32	0.10035737699017858	-2.2000763591489836e-6	30.744233626046455	NaN	0.10923976032753502
16	50	100	300	DoubleOcc |A|=2	2	exact	0.10035737699017858	0.0	30.744378710424154	NaN	0.10923976032753502
16	50	100	300	SzSz |A|=2	2	chi2	-0.08155407383732062	0.003924805959373737	14.42541654641577	NaN	0.12113059083110135
16	50	100	300	SzSz |A|=2	2	chi4	-0.08155407383732062	-0.06633867494519897	1.4456775255224776	NaN	0.12113059083110135
16	50	100	300	SzSz |A|=2	2	chi8	-0.08155407383732062	-0.0007873035619198054	17.37469128955989	NaN	0.12113059083110135
16	50	100	300	SzSz |A|=2	2	chi32	-0.08155407383732062	-4.321406686590146e-5	17.46337568689061	NaN	0.12113059083110135
16	50	100	300	SzSz |A|=2	2	exact	-0.08155407383732062	0.0	17.466324162931482	NaN	0.12113059083110135
16	50	100	300	hop |A|=3	3	chi2	0.4227169615035098	0.4227169615035098	1.0	NaN	0.11375341372061493
