U	doping	observable	chi_prior	true	absDelta	discarded_w	sens_s	alpha
2.0	0.0	n	2	1.0000000013119965	1.3119969555219768e-9	0.33792775044639434	6.0647775064123035e-9	0.3404955146789098
2.0	0.0	n	4	1.0000000013119965	8.275271579094579e-9	0.2132802895838659	6.0647775064123035e-9	0.3404955146789098
2.0	0.0	n	8	1.0000000013119965	3.004567039610606e-9	0.0243838125041006	6.0647775064123035e-9	0.3404955146789098
2.0	0.0	n	16	1.0000000013119965	5.134952463237141e-10	0.00838173897561878	6.0647775064123035e-9	0.3404955146789098
2.0	0.0	n	32	1.0000000013119965	1.186767129013333e-9	0.0013268683939176018	6.0647775064123035e-9	0.3404955146789098
2.0	0.0	n	64	1.0000000013119965	6.204727842629154e-10	0.00010988114050136666	6.0647775064123035e-9	0.3404955146789098
2.0	0.0	n	128	1.0000000013119965	5.128919511321328e-11	9.788297769763865e-6	6.0647775064123035e-9	0.3404955146789098
2.0	0.0	Sz	2	3.530029319548378e-8	3.806731480732184e-8	0.33792775044639434	7.245516021957715e-8	0.3304794871633395
2.0	0.0	Sz	4	3.530029319548378e-8	3.672711178237531e-8	0.2132802895838659	7.245516021957715e-8	0.3304794871633395
2.0	0.0	Sz	8	3.530029319548378e-8	2.759666192023169e-7	0.0243838125041006	7.245516021957715e-8	0.3304794871633395
2.0	0.0	Sz	16	3.530029319548378e-8	2.937929823032537e-9	0.00838173897561878	7.245516021957715e-8	0.3304794871633395
2.0	0.0	Sz	32	3.530029319548378e-8	3.4901786044594374e-9	0.0013268683939176018	7.245516021957715e-8	0.3304794871633395
2.0	0.0	Sz	64	3.530029319548378e-8	3.176199900312149e-9	0.00010988114050136666	7.245516021957715e-8	0.3304794871633395
2.0	0.0	Sz	128	3.530029319548378e-8	2.5690751956353175e-9	9.788297769763865e-6	7.245516021957715e-8	0.3304794871633395
2.0	0.0	DoubleOcc	2	0.1754299981336921	0.1754299981336921	0.33792775044639434	0.15776412792259054	1.1275317460257699
2.0	0.0	DoubleOcc	4	0.1754299981336921	0.004101732508212719	0.2132802895838659	0.15776412792259054	1.1275317460257699
2.0	0.0	DoubleOcc	8	0.1754299981336921	0.005910020407874722	0.0243838125041006	0.15776412792259054	1.1275317460257699
2.0	0.0	DoubleOcc	16	0.1754299981336921	0.0012128818103624983	0.00838173897561878	0.15776412792259054	1.1275317460257699
2.0	0.0	DoubleOcc	32	0.1754299981336921	0.00012642007772989405	0.0013268683939176018	0.15776412792259054	1.1275317460257699
2.0	0.0	DoubleOcc	64	0.1754299981336921	2.8697549475653616e-7	0.00010988114050136666	0.15776412792259054	1.1275317460257699
2.0	0.0	DoubleOcc	128	0.1754299981336921	2.0403167784732723e-6	9.788297769763865e-6	0.15776412792259054	1.1275317460257699
2.0	0.0	ZZ onsite	2	-0.2982800100892145	0.7017199899107851	0.33792775044639434	0.6310005972351005	1.1274872251369865
2.0	0.0	ZZ onsite	4	-0.2982800100892145	0.01640694658339731	0.2132802895838659	0.6310005972351005	1.1274872251369865
2.0	0.0	ZZ onsite	8	-0.2982800100892145	0.023640087640628027	0.0243838125041006	0.6310005972351005	1.1274872251369865
2.0	0.0	ZZ onsite	16	-0.2982800100892145	0.004851526214470492	0.00838173897561878	0.6310005972351005	1.1274872251369865
2.0	0.0	ZZ onsite	32	-0.2982800100892145	0.0005056779373752152	0.0013268683939176018	0.6310005972351005	1.1274872251369865
2.0	0.0	ZZ onsite	64	-0.2982800100892145	1.149142914158574e-6	0.00010988114050136666	0.6310005972351005	1.1274872251369865
2.0	0.0	ZZ onsite	128	-0.2982800100892145	8.161369704662302e-6	9.788297769763865e-6	0.6310005972351005	1.1274872251369865
2.0	0.0	ZZ up-up r=1	2	-0.40157432273460886	0.40157432273461013	0.33792775044639434	0.9339869103609666	0.7896992231392894
2.0	0.0	ZZ up-up r=1	4	-0.40157432273460886	0.3200885627561797	0.2132802895838659	0.9339869103609666	0.7896992231392894
2.0	0.0	ZZ up-up r=1	8	-0.40157432273460886	0.05004663761924405	0.0243838125041006	0.9339869103609666	0.7896992231392894
2.0	0.0	ZZ up-up r=1	16	-0.40157432273460886	0.014271799512014793	0.00838173897561878	0.9339869103609666	0.7896992231392894
2.0	0.0	ZZ up-up r=1	32	-0.40157432273460886	0.005222544341690172	0.0013268683939176018	0.9339869103609666	0.7896992231392894
2.0	0.0	ZZ up-up r=1	64	-0.40157432273460886	0.0009877302982503888	0.00010988114050136666	0.9339869103609666	0.7896992231392894
2.0	0.0	ZZ up-up r=1	128	-0.40157432273460886	8.84910920948001e-5	9.788297769763865e-6	0.9339869103609666	0.7896992231392894
2.0	0.0	SzSz r=1	2	-0.06864846553886442	0.06864846553886475	0.33792775044639434	0.15898276537145528	0.78406622589939
2.0	0.0	SzSz r=1	4	-0.06864846553886442	0.06864846553886762	0.2132802895838659	0.15898276537145528	0.78406622589939
2.0	0.0	SzSz r=1	8	-0.06864846553886442	0.006352713134301725	0.0243838125041006	0.15898276537145528	0.78406622589939
