L	doping	observable	site	G_median	G_min	G_max_over_chi	Gmax_ceiling	ratio_median
8	0.000	DoubleOcc	1	46.9637	5.6991	46.9824	46.9633	1.0000
8	0.000	DoubleOcc	2	27.4342	2.1781	27.4570	27.4571	0.9992
8	0.000	DoubleOcc	3	27.0814	2.2139	27.1092	27.0849	0.9999
8	0.000	DoubleOcc	4	26.2837	2.0310	26.3444	26.2902	0.9998
8	0.000	DoubleOcc	5	28.0399	2.1533	28.0401	28.0399	1.0000
8	0.000	DoubleOcc	6	26.2682	2.1902	26.3342	26.2727	0.9998
8	0.000	DoubleOcc	7	27.1594	2.3642	27.2156	27.1594	1.0000
8	0.000	DoubleOcc	8	53.5978	5.9819	53.6154	53.5978	1.0000
8	0.000	Sz	1	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	Sz	2	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	Sz	3	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	Sz	4	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	Sz	5	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	Sz	6	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	Sz	7	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	Sz	8	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	SzSz r=1	1	111.7046	5.2327	112.3092	112.3094	0.9946
8	0.000	SzSz r=1	2	7.6598	1.0000	7.6725	7.6599	1.0000
8	0.000	SzSz r=1	3	56.2213	2.0991	57.3820	57.3819	0.9798
8	0.000	SzSz r=1	4	8.8037	1.0088	8.8220	8.8059	0.9997
8	0.000	SzSz r=1	5	54.0614	2.1032	55.5214	55.5215	0.9737
8	0.000	SzSz r=1	6	6.6617	1.0198	6.6644	6.6621	1.0000
8	0.000	SzSz r=1	7	105.1150	5.3753	105.2578	105.1144	1.0000
8	0.000	ZZ onsite	1	97.6246	5.9563	97.6634	97.6234	1.0000
8	0.000	ZZ onsite	2	51.8330	2.1844	51.9771	51.9772	0.9972
8	0.000	ZZ onsite	3	51.3795	2.3223	51.4025	51.3838	0.9999
8	0.000	ZZ onsite	4	47.5162	2.1105	47.6314	47.5302	0.9997
8	0.000	ZZ onsite	5	48.7135	2.1985	48.7151	48.7139	1.0000
8	0.000	ZZ onsite	6	48.4055	2.2256	48.6765	48.4230	0.9996
8	0.000	ZZ onsite	7	49.4026	2.3627	49.5151	49.4025	1.0000
8	0.000	ZZ onsite	8	93.6653	6.0581	93.6943	93.6653	1.0000
8	0.000	ZZ up-up r=1	1	199.6838	23.3624	200.2313	200.1869	0.9975
8	0.000	ZZ up-up r=1	2	10.1511	1.0000	10.1574	10.1512	1.0000
8	0.000	ZZ up-up r=1	3	90.9126	5.1060	91.4086	91.1164	0.9978
8	0.000	ZZ up-up r=1	4	12.4490	1.2558	12.4596	12.4596	0.9992
8	0.000	ZZ up-up r=1	5	77.1718	5.5521	79.7797	79.7795	0.9673
8	0.000	ZZ up-up r=1	6	10.3017	1.2627	10.3137	10.3137	0.9988
8	0.000	ZZ up-up r=1	7	165.0094	22.0881	166.0888	166.0892	0.9935
8	0.000	hop up r=1	1	62.0063	1.0000	62.0440	62.0437	0.9994
8	0.000	hop up r=1	2	15.4191	1.0000	15.4263	15.4195	1.0000
8	0.000	hop up r=1	3	51.1292	1.0000	51.4807	51.4807	0.9932
8	0.000	hop up r=1	4	17.1826	1.0000	17.2613	17.2616	0.9954
8	0.000	hop up r=1	5	48.7729	1.0000	48.9119	48.9001	0.9974
8	0.000	hop up r=1	6	16.8663	1.0000	16.9295	16.9295	0.9963
8	0.000	hop up r=1	7	65.3237	1.0000	65.4385	65.3235	1.0000
8	0.000	n	1	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	n	2	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	n	3	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	n	4	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	n	5	1.0000	1.0000	1.0000	1.0000	1.0000
8	0.000	n	6	1.0000	1.0000	1.0000	1.0000	1.0000
