L	doping	site	chi_prior	observable	pure	true	Delta	prior_fid	G_emp	G_lo	G_hi	G_max	G_theo	S_bond
8	0.0	1	2	n	false	1.0000000000408051	4.080491500246808e-11	0.34922867467582913	0.9999999999893416	0.9999999999817375	0.9999999999966375	0.999999999976116	NaN	1.0254393772499037
8	0.0	1	4	n	false	1.0000000000408051	-8.28255464213612e-10	0.709057471963228	0.9999999995058739	0.9999999990051077	0.9999999999593373	0.999999999976116	NaN	1.0254393772499037
8	0.0	1	8	n	false	1.0000000000408051	9.513081433709658e-10	0.9910999615936773	1.0000000005268	1.0000000000479337	1.000000001054125	0.999999999976116	NaN	1.0254393772499037
8	0.0	1	16	n	false	1.0000000000408051	6.770651816978557e-10	0.9994216301235064	1.000000000380666	1.000000000043329	1.0000000007496896	0.999999999976116	NaN	1.0254393772499037
8	0.0	1	32	n	false	1.0000000000408051	1.6803958224897997e-10	0.999994302332705	1.0000000000830813	1.0000000000153553	1.0000000001582867	0.999999999976116	NaN	1.0254393772499037
8	0.0	1	2	Sz	false	5.480338405305929e-13	7.097877841033551e-12	0.34922867467582913	0.9999999999972765	0.9999999999918949	1.0000000000027638	0.999999999998321	NaN	1.0254393772499037
8	0.0	1	4	Sz	false	5.480338405305929e-13	-2.00782862558313e-11	0.709057471963228	0.9999999999679642	0.9999999995628202	1.0000000003892329	0.999999999998321	NaN	1.0254393772499037
8	0.0	1	8	Sz	false	5.480338405305929e-13	1.656087766921388e-11	0.9910999615936773	1.0000000000358906	0.9999999995973945	1.000000000460344	0.999999999998321	NaN	1.0254393772499037
8	0.0	1	16	Sz	false	5.480338405305929e-13	4.033516576296137e-12	0.9994216301235064	1.000000000028284	0.9999999997223944	1.000000000330384	0.999999999998321	NaN	1.0254393772499037
8	0.0	1	32	Sz	false	5.480338405305929e-13	-3.0303537457143648e-12	0.999994302332705	1.0000000000074338	0.9999999999467737	1.0000000000693174	0.999999999998321	NaN	1.0254393772499037
8	0.0	1	2	DoubleOcc	false	0.07170178342758968	0.07170178342758968	0.34922867467582913	5.699143943417485	5.526713041155733	5.887429244935475	46.963289429468524	NaN	1.0254393772499037
8	0.0	1	4	DoubleOcc	false	0.07170178342758968	0.00026494155781195405	0.709057471963228	46.982428841728705	44.04948658002358	50.31148875406639	46.963289429468524	NaN	1.0254393772499037
8	0.0	1	8	DoubleOcc	false	0.07170178342758968	0.00010993854432411743	0.9910999615936773	46.9723783769849	44.03365890430637	50.29613489995445	46.963289429468524	NaN	1.0254393772499037
