nm	chi_prior	observable	pure	true	Delta	G_emp	G_theo
1	2	ZZ onsite(i0)	true	-0.5997268274511298	0.40027317254887307	1.3617702252533046	1.2265007140836948
1	4	ZZ onsite(i0)	true	-0.5997268274511298	0.03399473580764467	1.6017450165327527	1.4968877764802935
1	8	ZZ onsite(i0)	true	-0.5997268274511298	-0.0024518932464043797	1.5962155982683515	1.4992766270202664
1	16	ZZ onsite(i0)	true	-0.5997268274511298	0.0002297289568546912	1.5968273227274916	1.49928902927542
1	32	ZZ onsite(i0)	true	-0.5997268274511298	-8.051430646860425e-6	1.5967743853215706	1.4992891389808756
1	2	ZZ up-up r=1	true	-0.343503844785221	-0.03991426629781625	1.0826601419885278	1.1171221734151946
1	4	ZZ up-up r=1	true	-0.343503844785221	-0.30286557780477985	1.0191485807046858	1.024232230360018
1	8	ZZ up-up r=1	true	-0.343503844785221	-0.001647578875543676	1.081645642131095	1.1189127444301168
1	16	ZZ up-up r=1	true	-0.343503844785221	-0.0004028313240243553	1.081566538489982	1.118915622455107
1	32	ZZ up-up r=1	true	-0.343503844785221	-1.0932269503549641e-5	1.0815410340991813	1.1189158053073136
1	2	ZZ up-up r=2	true	0.12932021266744564	-0.1742693658199591	0.9600448898123481	0.9879934654306908
1	4	ZZ up-up r=2	true	0.12932021266744564	0.16680826017063827	0.9945218055260662	0.9902106063506187
1	8	ZZ up-up r=2	true	0.12932021266744564	0.008863675724236575	1.001860016187322	1.0150462700578624
1	16	ZZ up-up r=2	true	0.12932021266744564	0.005094839072439489	1.0015271112443764	1.0150945419240103
1	32	ZZ up-up r=2	true	0.12932021266744564	-6.836534965731778e-5	1.0010329151532882	1.0151183575028255
1	2	ZZ up-up r=4	true	0.08748887399599793	0.0006181557299865248	1.005665735139646	1.006855960566079
1	4	ZZ up-up r=4	true	0.08748887399599793	0.08906398322193063	0.9997704123523831	0.9997526596412102
1	8	ZZ up-up r=4	true	0.08748887399599793	0.00838348137963972	1.0057249524872212	1.0067929220957896
1	16	ZZ up-up r=4	true	0.08748887399599793	0.008570350207465896	1.005725002076902	1.0067900651579327
1	32	ZZ up-up r=4	true	0.08748887399599793	3.461405295022979e-5	1.005656776317528	1.0068563041111749
1	2	DoubleOcc(i0)	false	0.10006829335763973	0.10006829335763973	1.3153436012387407	NaN
1	4	DoubleOcc(i0)	false	0.10006829335763973	0.008497890542016662	1.3852575350697247	NaN
1	8	DoubleOcc(i0)	false	0.10006829335763973	-0.0006129284088868814	1.377317492060407	NaN
1	16	DoubleOcc(i0)	false	0.10006829335763973	5.699605882442116e-5	1.3779908928579545	NaN
1	32	DoubleOcc(i0)	false	0.10006829335763973	-1.9826746985585064e-6	1.3779327282859146	NaN
1	2	SzSz r=1	false	-0.06980119874823958	0.006096195873611612	1.067542785726009	NaN
1	4	SzSz r=1	false	-0.06980119874823958	-0.06980119867603432	1.0015303629100392	NaN
1	8	SzSz r=1	false	-0.06980119874823958	6.087935122151e-5	1.0713911925935418	NaN
1	16	SzSz r=1	false	-0.06980119874823958	-8.73779323455337e-5	1.0715336827675241	NaN
1	32	SzSz r=1	false	-0.06980119874823958	-8.84396286475464e-6	1.0715213527504068	NaN
1	2	hop bond(i0)	false	0.3909624532679199	0.3909624532679199	1.0	NaN
1	4	hop bond(i0)	false	0.3909624532679199	0.133296753963221	1.15761170122366	NaN
1	8	hop bond(i0)	false	0.3909624532679199	0.0027136918860214965	1.186626609644744	NaN
1	16	hop bond(i0)	false	0.3909624532679199	0.0001433057836214835	1.1867569483907876	NaN
1	32	hop bond(i0)	false	0.3909624532679199	1.038959209498369e-5	1.1867632111540034	NaN
3	2	ZZ onsite(i0)	true	-0.5997268274511298	0.40027317254887307	1.8288540098903343	1.4982087761611704
3	4	ZZ onsite(i0)	true	-0.5997268274511298	0.03399473580764467	2.735668456501974	2.4859034829099746
3	8	ZZ onsite(i0)	true	-0.5997268274511298	-0.0024518932464043797	2.7066205938191406	2.4978048816430434
3	16	ZZ onsite(i0)	true	-0.5997268274511298	0.0002297289568546912	2.7097310357224758	2.497866868353904
3	32	ZZ onsite(i0)	true	-0.5997268274511298	-8.051430646860425e-6	2.70946132476882	2.4978674166730435
3	2	ZZ up-up r=1	true	-0.343503844785221	-0.03991426629781625	1.3425403503745765	1.3502436329038643
3	4	ZZ up-up r=1	true	-0.343503844785221	-0.30286557780477985	1.0606610059558852	1.0621742233239762
3	8	ZZ up-up r=1	true	-0.343503844785221	-0.001647578875543676	1.3497096319516397	1.3567362814472874
3	16	ZZ up-up r=1	true	-0.343503844785221	-0.0004028313240243553	1.3497509184290444	1.3567467506809219
3	32	ZZ up-up r=1	true	-0.343503844785221	-1.0932269503549641e-5	1.349761398343497	1.356747415836002
3	2	ZZ up-up r=2	true	0.12932021266744564	-0.1742693658199591	0.9134668449108747	0.9658076959239602
3	4	ZZ up-up r=2	true	0.12932021266744564	0.16680826017063827	0.9781260941224146	0.9720056047630271
3	8	ZZ up-up r=2	true	0.12932021266744564	0.008863675724236575	1.0216345132144147	1.0451323997428832
3	16	ZZ up-up r=2	true	0.12932021266744564	0.005094839072439489	1.0210247071726393	1.0452815007008984
3	32	ZZ up-up r=2	true	0.12932021266744564	-6.836534965731778e-5	1.020062624844751	1.0453550721252116
3	2	ZZ up-up r=4	true	0.08748887399599793	0.0006181557299865248	1.0094026379687084	1.020567867618343
3	4	ZZ up-up r=4	true	0.08748887399599793	0.08906398322193063	0.999465450545011	0.9992683035591123
3	8	ZZ up-up r=4	true	0.08748887399599793	0.00838348137963972	1.0101989132105278	1.02037620086331
3	16	ZZ up-up r=4	true	0.08748887399599793	0.008570350207465896	1.0102141071052033	1.0203675155582779
3	32	ZZ up-up r=4	true	0.08748887399599793	3.461405295022979e-5	1.0093298135073638	1.020568912289375
3	2	DoubleOcc(i0)	false	0.10006829335763973	0.10006829335763973	1.6608166020971917	NaN
3	4	DoubleOcc(i0)	false	0.10006829335763973	0.008497890542016662	2.126272480044297	NaN
3	8	DoubleOcc(i0)	false	0.10006829335763973	-0.0006129284088868814	2.1064098012046237	NaN
3	16	DoubleOcc(i0)	false	0.10006829335763973	5.699605882442116e-5	2.1083402554100132	NaN
3	32	DoubleOcc(i0)	false	0.10006829335763973	-1.9826746985585064e-6	2.1081715837608113	NaN
3	2	SzSz r=1	false	-0.06980119874823958	0.006096195873611612	1.2755116729848102	NaN
3	4	SzSz r=1	false	-0.06980119874823958	-0.06980119867603432	1.0012386780590796	NaN
3	8	SzSz r=1	false	-0.06980119874823958	6.087935122151e-5	1.273152538953251	NaN
3	16	SzSz r=1	false	-0.06980119874823958	-8.73779323455337e-5	1.2726288548676248	NaN
3	32	SzSz r=1	false	-0.06980119874823958	-8.84396286475464e-6	1.2726998422440705	NaN
3	2	hop bond(i0)	false	0.3909624532679199	0.3909624532679199	1.0	NaN
3	4	hop bond(i0)	false	0.3909624532679199	0.133296753963221	1.4357912495516678	NaN
3	8	hop bond(i0)	false	0.3909624532679199	0.0027136918860214965	1.5126974281748073	NaN
3	16	hop bond(i0)	false	0.3909624532679199	0.0001433057836214835	1.5124631915551225	NaN
3	32	hop bond(i0)	false	0.3909624532679199	1.038959209498369e-5	1.5124491613079283	NaN
10	2	ZZ onsite(i0)	true	-0.5997268274511298	0.40027317254887307	1.7638146107976393	1.8587683386530838
10	4	ZZ onsite(i0)	true	-0.5997268274511298	0.03399473580764467	5.856023852611883	5.898269179366174
10	8	ZZ onsite(i0)	true	-0.5997268274511298	-0.0024518932464043797	6.008733264044838	5.992391300840712
10	16	ZZ onsite(i0)	true	-0.5997268274511298	0.0002297289568546912	6.0050204718966755	5.992887000670551
10	32	ZZ onsite(i0)	true	-0.5997268274511298	-8.051430646860425e-6	6.0053995920605905	5.992891385764994
10	2	ZZ up-up r=1	true	-0.343503844785221	-0.03991426629781625	2.32475737017866	2.15456473592509
10	4	ZZ up-up r=1	true	-0.343503844785221	-0.30286557780477985	1.1407815118430833	1.1375590583877082
10	8	ZZ up-up r=1	true	-0.343503844785221	-0.001647578875543676	2.403732795017451	2.1890981672158696
10	16	ZZ up-up r=1	true	-0.343503844785221	-0.0004028313240243553	2.405136528593699	2.189154474287082
10	32	ZZ up-up r=1	true	-0.343503844785221	-1.0932269503549641e-5	2.4055624529238253	2.189158051784056
10	2	ZZ up-up r=2	true	0.12932021266744564	-0.1742693658199591	0.718975724454763	0.9032112211144105
10	4	ZZ up-up r=2	true	0.12932021266744564	0.16680826017063827	0.9593472475913468	0.9198136998405907
10	8	ZZ up-up r=2	true	0.12932021266744564	0.008863675724236575	1.0012931460592194	1.1503665918894426
10	16	ZZ up-up r=2	true	0.12932021266744564	0.005094839072439489	0.9980169156334168	1.1509135484078417
10	32	ZZ up-up r=2	true	0.12932021266744564	-6.836534965731778e-5	0.9932405935094246	1.1511835692792738
10	2	ZZ up-up r=4	true	0.08748887399599793	0.0006181557299865248	1.1050241062782569	1.06855939446288
10	4	ZZ up-up r=4	true	0.08748887399599793	0.08906398322193063	0.9973070220538464	0.9976742740820473
10	8	ZZ up-up r=4	true	0.08748887399599793	0.00838348137963972	1.0999338738578082	1.067890756544618
10	16	ZZ up-up r=4	true	0.08748887399599793	0.008570350207465896	1.0997993523971932	1.0678604713480004
