L	site	observable	prior	true	prior_val	Delta	relerr	G	G_max
8	1	ZZ onsite	chi2	-0.7131928663712523	-0.9999999999999994	0.2868071336287471	0.40214526413876067	6.035332611608546	68.51227465901917
8	1	ZZ onsite	chi4	-0.7131928663712523	-0.7142526342590416	0.0010597678877892758	0.0014859485249500714	68.6045784780229	68.51227465901917
8	1	ZZ onsite	chi8	-0.7131928663712523	-0.7136326186459225	0.00043975227467019096	0.0006165965693230561	68.55299144297013	68.51227465901917
8	1	ZZ onsite	chi32	-0.7131928663712523	-0.7131933180950286	4.517237762735604e-7	6.333823536008501e-7	68.51231823715203	68.51227465901917
8	1	ZZ onsite	exact	-0.7131928663712523	-0.7131928663712523	0.0	0.0	68.51227465901917	68.51227465901917
8	1	ZZ onsite	UHF	-0.7131928663712523	-0.7666613384850945	0.0534684721138422	0.07497056495515927	52.76169825523249	68.51227465901917
8	1	ZZ onsite	UHFsym	-0.7131928663712523	-0.7666613384851082	0.05346847211385586	0.07497056495517843	52.761698255225475	68.51227465901917
8	1	SzSz r=1	chi2	-0.1771488348393433	-0.24999999999999986	0.07285116516065657	0.41124270010991304	5.136552623908468	151.10354131920715
8	1	SzSz r=1	chi4	-0.1771488348393433	-0.2050216561200847	0.027872821280741394	0.1573412622556582	26.976157245974548	151.10354131920715
8	1	SzSz r=1	chi8	-0.1771488348393433	-0.17819913563117848	0.0010503007918351848	0.005928917301588267	147.22964079403076	151.10354131920715
8	1	SzSz r=1	chi32	-0.1771488348393433	-0.17715004616777946	1.2113284361681131e-6	6.8379136519112294e-6	151.0998681247298	151.10354131920715
8	1	SzSz r=1	exact	-0.1771488348393433	-0.1771488348393433	0.0	0.0	151.10354131920715	151.10354131920715
8	1	SzSz r=1	UHF	-0.1771488348393433	-0.19417612370262086	0.017027288863277562	0.09611854844385316	54.21683736416002	151.10354131920715
8	1	SzSz r=1	UHFsym	-0.1771488348393433	-0.08289489756327156	-0.09425393727607173	0.5320607237498957	3.599360664050941	151.10354131920715
8	1	SxSx r=1	chi2	-0.17714883482636845	-0.2499999999999999	0.07285116517363144	0.4112427002132763	5.60040278670989	148.8071298758634
8	1	SxSx r=1	chi4	-0.17714883482636845	-0.2050216561200847	0.027872821293716238	0.1573412623404249	30.781963896239773	148.8071298758634
8	1	SxSx r=1	chi8	-0.17714883482636845	-0.17813450431367522	0.0009856694873067728	0.0055640754751385855	146.95977563952732	148.8071298758634
8	1	SxSx r=1	chi32	-0.17714883482636845	-0.17714984766445857	1.0128380901197609e-6	5.717441444717879e-6	148.80590762103918	148.8071298758634
8	1	SxSx r=1	exact	-0.17714883482636845	-0.17714883482636845	0.0	0.0	148.8071298758634	148.8071298758634
8	1	SxSx r=1	UHF	-0.17714883482636845	-0.027290500991581115	-0.14985833383478733	0.8459459187618719	1.5030813792111086	148.8071298758634
8	1	SxSx r=1	UHFsym	-0.17714883482636845	-0.08293111406125575	-0.0942177207651127	0.5318562826419927	3.742242699212943	148.8071298758634
8	2	ZZ onsite	chi2	-0.6038964620108481	-0.9999999999999998	0.39610353798915166	0.6559129965262758	2.382140322650207	58.890656214143256
8	2	ZZ onsite	chi4	-0.6038964620108481	-0.6401732489606775	0.03627678694982939	0.06007120298243729	51.682100242677734	58.890656214143256
